task,gene,n,mean,var,zero_frac,fano,nb_alpha_mom,aic_pois,bic_pois,aic_nb,bic_nb,aic_zinb,bic_zinb,pois_converged,nb_converged,zinb_converged,delta_aic,delta_bic,delta_aic_overdisp,mean_depth,zinb_preferred,zinb_preferred_bic,nb_beats_poisson,both_converged
HCC,IGHM,4196,0.715443279313632,300.4458258106079,0.8102955195424214,419.943599300903,585.5720661780776,26983.058940973093,26989.40082794261,932697.4963911665,932710.1801651055,6616.646336096151,6635.671997004699,True,True,True,926080.8500550704,926074.5081681008,-905714.4374501933,32962.44140625,True,True,False,True
HCC,IGKC,4196,2.3412774070543376,330.95430053709134,0.48665395614871304,141.35629530269088,59.94859681291641,52013.32037458154,52019.66226155106,14680.280211562815,14692.963985501847,14682.280689271292,14701.30635017984,True,True,True,-2.0004777084777743,-8.342364677993828,37333.040163018726,32962.44140625,False,False,True,True
HCC,IGLC1,4196,1.4599618684461393,1332.4343917983072,0.775023832221163,912.6501318944983,624.4342072199339,60887.94802273126,60894.289909700776,1179620.2105859749,1179632.894359914,8028.946597358708,8047.972258267256,True,True,True,1171591.2639886162,1171584.9221016467,-1118732.2625632435,32962.44140625,True,True,False,True
HCC,IGLC2,4196,1.7726406101048617,349.55544675614783,0.6477597712106768,197.1947639941915,110.67938017203919,49631.95588243927,49638.29776940879,11348.400526677127,11361.08430061616,11350.400528223927,11369.426189132475,True,True,True,-2.000001546799467,-8.341888516315521,38283.555355762146,32962.44140625,False,False,True,True
HCC,JAG1,4196,0.4887988560533842,0.9460008453479163,0.6718303145853194,1.93535814094581,1.9135849631441342,8427.068229598615,8433.410116568131,7906.288225244977,7918.971999184009,7908.288588463236,7927.314249371784,True,True,True,-2.0003632182588262,-8.34225018777488,520.7800043536381,32962.44140625,False,False,True,True
HCC,LRRC75A,4196,0.8410390848427073,2.3620913157544905,0.6081982840800763,2.8085392918407037,2.1503629551044465,12549.453309231882,12555.795196201398,10462.469160267561,10475.152934206593,10464.46998848041,10483.495649388959,True,True,True,-2.0008282128492283,-8.342715182365282,2086.9841489643204,32962.44140625,False,False,True,True
HCC,LTBP2,4196,0.43660629170638704,0.8152889805944932,0.7185414680648237,1.8673321848114046,1.9865315761291777,7960.672721230117,7967.014608199633,7362.679972183254,7375.363746122286,7364.681529020466,7383.707189929014,True,True,True,-2.001556837211865,-8.343443806727919,597.9927490468626,32962.44140625,False,False,True,True
HCC,MCAM,4196,0.5383698760724499,0.9303510011805328,0.6432316491897044,1.7280888893109854,1.3523952986050887,8766.161319227256,8772.503206196772,8362.123971002646,8374.807744941678,8364.12433589929,8383.149996807839,True,True,True,-2.0003648966448964,-8.34225186616095,404.03734822461047,32962.44140625,False,False,True,True
HCC,MFAP4,4196,0.18755958055290753,0.4255996686781554,0.863441372735939,2.2691438497757814,6.766617018626658,4694.844085555925,4701.185972525441,4239.442448837329,4252.126222776361,4241.444441256743,4260.470102165291,True,True,True,-2.0019924194139094,-8.343879388929963,455.4016367185959,32962.44140625,False,False,True,True
HCC,MGP,4196,4.36558627264061,36.855587761089225,0.26334604385128696,8.44229971861177,1.7047652374328521,35852.01476135771,35858.35664832722,21431.803263379865,21444.487037318897,21433.21792439858,21452.24358530713,True,True,True,-1.4146610187162878,-7.756547988232342,14420.211497977842,32962.44140625,False,False,True,True
HCC,MUSTN1,4196,0.5438512869399428,1.4977190377122884,0.6582459485224023,2.7539128318320607,3.2249860834212654,9272.215177527272,9278.557064496788,8382.55160434412,8395.235378283152,8384.551715627867,8403.577376536416,True,True,True,-2.0001112837471737,-8.341998253263228,889.663573183152,32962.44140625,False,False,True,True
HCC,MYL9,4196,1.9022878932316492,14.920128256549459,0.3174451858913251,7.843254593395331,3.5973811418049118,20657.301643568055,20663.64353053757,15685.07129140731,15697.755065346342,15687.071366400345,15706.097027308893,True,True,True,-2.000074993035014,-8.341961962551068,4972.230352160745,32962.44140625,False,False,True,True
HCC,NDUFA4L2,4196,0.5014299332697807,1.0471970012873377,0.6916110581506196,2.0884213961034552,2.170635065613164,8734.154571854644,8740.49645882416,7979.5200094939755,7992.203783433008,7981.520367074554,8000.546027983102,True,True,True,-2.000357580578566,-8.34224455009462,754.6345623606685,32962.44140625,False,False,True,True
HCC,PDE9A,4196,0.3603431839847474,0.6152946616960815,0.7516682554814109,1.70752407438939,1.963472894271085,6983.938556227613,6990.280443197129,6573.801993371603,6586.485767310635,6575.802546842992,6594.8282077515405,True,True,True,-2.0005534713891393,-8.342440440905193,410.13656285600973,32962.44140625,False,False,True,True
HCC,PDZK1IP1,4196,4.219494756911344,35.98875931558633,0.44232602478551003,8.52916317922622,1.7843755266892527,40255.20100342261,40261.54289039213,19861.88904836827,19874.572822307302,19590.34683703398,19609.372497942528,True,True,True,271.5422113342902,265.20032436477413,20393.31195505434,32962.44140625,True,True,True,True
HCC,PHKG1,4196,0.5030981887511916,0.9570821748620343,0.7018589132507149,1.9023765067366631,1.7936389494396203,8748.400803247318,8754.742690216834,7968.4282520754405,7981.112026014473,7970.324897862838,7989.350558771386,True,True,True,-1.8966457873975742,-8.238532756913628,779.9725511718771,32962.44140625,False,False,True,True
HCC,PPP1R14A,4196,0.5469494756911344,1.2695473071010364,0.646329837940896,2.321141830325032,2.415473254921061,9094.650582214237,9100.992469183753,8431.509581108432,8444.193355047464,8433.509682462614,8452.535343371163,True,True,True,-2.000101354182334,-8.341988323698388,663.1410011058051,32962.44140625,False,False,True,True
HCC,PRELP,4196,0.5104861773117254,1.202988941167648,0.7049571020019065,2.3565553674787356,2.6573792352664682,9059.638223799051,9065.980110768567,7984.775846584121,7997.459620523153,7986.780037879276,8005.805698787824,True,True,True,-2.0041912951555787,-8.346078264671632,1074.8623772149303,32962.44140625,False,False,True,True
HCC,PTGDS,4196,2.9189704480457577,24.63276518530049,0.4604385128693994,8.438853912273094,2.5484512586461388,32339.098394683315,32345.44028165283,17503.61471214732,17516.29848608635,17474.515156949892,17493.54081785844,True,True,True,29.099555197426525,22.75766822791047,14835.483682535996,32962.44140625,True,True,True,True
HCC,RBP7,4196,0.4351763584366063,0.744068645886712,0.7166348903717826,1.7098094403837039,1.6310845628970545,7847.210326709975,7853.552213679491,7366.517656435858,7379.20143037489,7368.51772321536,7387.543384123908,True,True,True,-2.000066779502049,-8.341953749018103,480.6926702741166,32962.44140625,False,False,True,True
HCC,RND1,4196,0.553860819828408,0.9622949832464315,0.6701620591039085,1.7374310454828,1.3314374642193754,9096.140574419102,9102.482461388618,8468.09858019207,8480.782354131103,8459.713778705402,8478.73943961395,True,True,True,8.384801486668948,2.0429145171528944,628.041994227031,32962.44140625,True,True,True,True
HCC,S100A4,4196,1.1532411820781696,4.102137287228542,0.49833174451858914,3.5570506421184054,2.2172730924424116,14799.554130013408,14805.896016982924,12430.680296151646,12443.364070090678,12432.682172801626,12451.707833710174,True,True,True,-2.0018766499797493,-8.343763619495803,2368.8738338617623,32962.44140625,False,False,True,True
HCC,SPARCL1,4196,1.0698284080076264,3.4427986356266427,0.46973307912297424,3.2180848908641995,2.073309022514186,13792.58221739753,13798.924104367046,12031.131939950817,12043.81571388985,12033.132053771009,12052.157714679557,True,True,True,-2.0001138201914728,-8.342000789707527,1761.4502774467128,32962.44140625,False,False,True,True
HCC,TAGLN,4196,2.4666348903717825,30.808183285971882,0.2612011439466158,12.489964934100293,4.658153899853606,25747.329794167974,25753.67168113749,17465.45738982643,17478.141163765464,17467.45819887663,17486.483859785178,True,True,True,-2.0008090501978586,-8.342696019713912,8281.872404341542,32962.44140625,False,False,True,True
HCC,TCEAL9,4196,0.5600571973307912,0.9434721302199381,0.6591992373689228,1.6845995993203664,1.2223744335098967,9093.128776686579,9099.470663656095,8535.93496798574,8548.618741924773,8535.989000325228,8555.014661233776,True,True,True,-0.05403233948709385,-6.395919309003148,557.1938087008384,32962.44140625,False,False,True,True
HCC,TPM2,4196,0.9621067683508103,4.049338492531056,0.49761677788369874,4.20882445247964,3.335206193362539,13183.97469334525,13190.316580314766,11409.935336191815,11422.619110130847,11411.935555467502,11430.96121637605,True,True,True,-2.0002192756874138,-8.342106245203468,1774.039357153435,32962.44140625,False,False,True,True
HCC,TRBC2,4196,0.39990467111534794,0.7430178693369359,0.7278360343183985,1.8579874730260926,2.1454799981033874,7469.555580252754,7475.89746722227,7009.536437972821,7022.220211911853,7011.536759160261,7030.562420068809,True,True,True,-2.000321187440022,-8.342208156956076,460.0191422799335,32962.44140625,False,False,True,True
HCC,TSPAN13,4196,0.4296949475691134,0.7933873681842404,0.7221163012392755,1.8463967814204507,1.969762004903057,7875.480489702724,7881.82237667224,7293.180927490215,7305.864701429247,7295.181097411683,7314.2067583202315,True,True,True,-2.000169921468114,-8.342056890984168,582.299562212509,32962.44140625,False,False,True,True
IDC,ABCC11,35536,28.502307519135524,5188.494718187237,0.27042998649257094,182.03770746294313,6.351685993893661,3036959.400572421,3036967.878873967,257932.2553342733,257949.21193736556,257934.2598613482,257959.6947659866,True,True,True,-2.004527074896032,-10.482828621054068,2779027.1452381476,7621.5263671875,False,False,True,True
IDC,ADH1B,35536,7.719692705988294,544.1884018304306,0.28863687528140475,70.49353161535751,9.002111128264241,884238.4935685059,884246.971870052,198056.2661714735,198073.22277456574,198058.27065981337,198083.70556445178,True,True,True,-2.0044883398804814,-10.482789886038518,686182.2273970323,7621.5263671875,False,False,True,True
IDC,ADIPOQ,35536,2.402774651058082,165.41353838242313,0.5306449797388564,68.84271827554943,28.235156486969895,435692.1403712694,435700.6186728155,119446.17633009226,119463.13293318453,119448.19258393999,119473.6274885784,True,True,True,-2.0162538477306953,-10.494555393859628,316245.9640411771,7621.5263671875,False,False,True,True
IDC,ANKRD30A,35536,106.22954187303017,47616.76838685639,0.4099786132372805,448.2441282084213,4.210167156166271,11012080.113382738,11012088.591684284,271722.6606737793,271739.6172768716,271724.7394451819,271750.1743498203,True,True,True,-2.078771402593702,-10.557072948722634,10740357.45270896,7621.5263671875,False,False,True,True
IDC,AQP1,35536,23.641405898244034,1783.9022776237885,0.1430099054479964,75.45669175944768,3.1494189507984354,1705986.025189726,1705994.503491272,281237.6526843476,281254.60928743985,281239.6551569767,281265.0900616151,True,True,True,-2.0024726291303523,-10.480774175259285,1424748.3725053784,7621.5263671875,False,False,True,True
IDC,AQP3,35536,22.567846690679875,3201.3572089947597,0.3019754615038271,141.85479247857813,6.241392650755142,2688184.318632775,2688192.796934321,230493.26255545337,230510.21915854563,230495.28095996537,230520.7158646038,True,True,True,-2.0184045119967777,-10.496706058154814,2457691.0560773215,7621.5263671875,False,False,True,True
IDC,CCR7,35536,2.3273863124718597,62.575128398500134,0.5156461053579469,26.886438260453904,11.12253609198232,322722.6295270198,322731.10782856593,126122.90965805604,126139.86626114832,126124.96627444742,126150.40117908582,True,True,True,-2.056616391375428,-10.53491793750436,196599.71986896376,7621.5263671875,False,False,True,True
IDC,CD3E,35536,13.030532417829807,1094.3007702920122,0.25976474561008556,83.97974351337092,6.3681007692232825,1339273.9216898717,1339282.3999914178,226986.99769071335,227003.9542938056,226989.0028664713,227014.43777110972,True,True,True,-2.0051757579494733,-10.48347730410751,1112286.9239991584,7621.5263671875,False,False,True,True
IDC,CEACAM6,35536,22.799893066186403,8928.985283230439,0.28568212516884284,391.6239982928979,17.13271185785588,3241040.7833941374,3241049.2616956835,241520.08793813392,241537.04454122618,241522.09354896814,241547.52845360656,True,True,True,-2.005610834225081,-10.483912380383117,2999520.6954560033,7621.5263671875,False,False,True,True
IDC,CEACAM8,35536,0.7332564160288159,8.348741735402763,0.7130796938316074,11.385842050476747,14.16399750952687,128518.27219234868,128526.75049389481,73844.8965845796,73861.85318767188,73846.8984269152,73872.3333315536,True,True,True,-2.0018423355941195,-10.480143881723052,54673.37560776908,7621.5263671875,False,False,True,True
IDC,CLIC6,35536,120.41042886087348,45274.809199241994,0.12708239531742457,376.00405236953463,3.11438183483947,9444703.802528601,9444712.280830147,364410.1934272414,364427.15003033367,364412.20076642785,364437.63567106624,True,True,True,-2.0073391864425503,-10.485640732571483,9080293.609101359,7621.5263671875,False,False,True,True
IDC,CYTIP,35536,7.123677397568663,226.85896828022192,0.16343989194056732,31.845766676302567,4.330034188076841,579828.4543036195,579836.9326051656,210974.48155179946,210991.43815489172,210976.48209014395,211001.91699478237,True,True,True,-2.0005383444949985,-10.478839890653035,368853.97275182,7621.5263671875,False,False,True,True
IDC,DST,35536,51.96800427735254,3822.092939942686,0.013113462404322377,73.54704097437006,1.395994361976794,1767510.6948009292,1767519.1731024752,351666.37384506455,351683.3304481568,351608.33527236467,351633.77017700305,True,True,True,58.038572699879296,49.560271153750364,1415844.3209558646,7621.5263671875,True,True,True,True
IDC,ERBB2,35536,136.15375956776228,59288.94621803072,0.03919968482665466,435.45581411964787,3.1909204380318545,8577959.415433252,8577967.893734798,407546.0300023076,407562.98660539987,407548.03012327553,407573.4650279139,True,True,True,-2.00012096791761,-10.478422514046542,8170413.385430945,7621.5263671875,False,False,True,True
IDC,ESR1,35536,45.06207789284106,4207.6237809531,0.07640139576767221,93.37394052176096,2.049926342531937,2674319.9907482867,2674328.469049833,329225.8778775734,329242.8344806657,329227.88047264493,329253.3153772833,True,True,True,-2.002595071506221,-10.480896617635153,2345094.112870713,7621.5263671875,False,False,True,True
IDC,FASN,35536,59.45674808644755,8931.390165240155,0.10265646105357946,150.21659361952152,2.5096662434778136,3920979.824074884,3920988.30237643,340912.91415429243,340929.8707573847,340914.91637939354,340940.35128403193,True,True,True,-2.0022251011105254,-10.480526647239458,3580066.9099205914,7621.5263671875,False,False,True,True
IDC,GATA3,35536,238.30172219720848,84973.41339340374,0.030926384511481313,356.5790990091264,1.4921381840239665,11503013.980583351,11503022.458884897,446314.63529142283,446331.5918945151,446316.63615615957,446342.07106079796,True,True,True,-2.0008647367358208,-10.479166282864753,11056699.345291927,7621.5263671875,False,False,True,True
IDC,IL2RG,35536,7.783008779828906,341.06058198118086,0.25188541197658715,43.82117399958508,5.5018791846366675,755223.5071326189,755231.9854341651,205588.35811292985,205605.3147160221,205590.43585546897,205615.87076010738,True,True,True,-2.0777425391133875,-10.556044085271424,549635.1490196891,7621.5263671875,False,False,True,True
IDC,IL7R,35536,12.498002026114364,1475.6231844137853,0.272427960378208,118.06872661170127,9.366995329900583,1462512.1788150924,1462520.6571166385,220075.18285718697,220092.13946027923,220077.1860446275,220102.62094926593,True,True,True,-2.0031874405394774,-10.481488986697514,1242436.9959579054,7621.5263671875,False,False,True,True
IDC,KIT,35536,6.063878883385862,200.2095116064363,0.2229851418280054,33.016739855240345,5.279910841056129,530650.9679169549,530659.4462185011,198053.44221031747,198070.39881340973,198055.44276105598,198080.8776656944,True,True,True,-2.0005507385067176,-10.478852284664754,332597.5257066374,7621.5263671875,False,False,True,True
IDC,KLF5,35536,7.60029266096353,257.01552151277133,0.24667942368302567,33.8165295703479,4.3177981472870774,666237.1040889655,666245.5823905116,207422.8365217721,207439.79312486434,207424.84482002235,207450.27972466077,True,True,True,-2.008298250264488,-10.486599796422524,458814.26756719337,7621.5263671875,False,False,True,True
IDC,KRT14,35536,9.00461503827105,1008.0534471122478,0.35631472309770373,111.94853337181655,12.32129667956571,1264822.8464948186,1264831.3247963646,187702.16126910527,187719.11787219753,187704.165423392,187729.6003280304,True,True,True,-2.0041542867256794,-10.482455832883716,1077120.6852257133,7621.5263671875,False,False,True,True
IDC,KRT5,35536,5.473744934714093,444.0593641205597,0.6302904097253489,81.12532999197084,14.638119047860966,906709.9187556318,906718.397057178,126218.23954424492,126235.19614733719,126220.28977611539,126245.72468075379,True,True,True,-2.0502318704675417,-10.528533416596474,780491.6792113868,7621.5263671875,False,False,True,True
IDC,KRT6B,35536,3.589768122467357,281.6461415418413,0.5744597028365601,78.45803180965831,21.577447112773136,623792.1581844033,623800.6364859495,124731.41651369815,124748.37311679042,124733.41790201236,124758.85280665076,True,True,True,-2.00138831420918,-10.479689860338112,499060.74167070515,7621.5263671875,False,False,True,True
IDC,MMP1,35536,4.46209477712742,176.0303065052706,0.38068437640702385,39.45014960408221,8.617062506421126,523018.82563291583,523027.30393446196,165291.304607809,165308.26121090126,165293.31200758464,165318.74691222305,True,True,True,-2.007399775640806,-10.485701321798842,357727.52102510683,7621.5263671875,False,False,True,True
