task,encoder,fold,scale,alpha,is_formula_value,formula_alpha,d,gram_cond,gram_diag_mean,pearson
IDC,resnet50,2,raw,100000.0,False,0.001953125,1024,23349.216796875,31525.875,0.4456459283828735
IDC,resnet50,2,raw,1000000.0,False,0.001953125,1024,23349.216796875,31525.875,0.3978007137775421
IDC,resnet50,3,pca256,0.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5181120038032532
IDC,resnet50,3,pca256,0.0001,False,0.0078125,256,417.1107177734375,117089.15625,0.5180663466453552
IDC,resnet50,3,pca256,0.001,False,0.0078125,256,417.1107177734375,117089.15625,0.5180663466453552
IDC,resnet50,3,pca256,0.01,False,0.0078125,256,417.1107177734375,117089.15625,0.5180663466453552
IDC,resnet50,3,pca256,0.1,False,0.0078125,256,417.1107177734375,117089.15625,0.5180665254592896
IDC,resnet50,3,pca256,1.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5180680155754089
IDC,resnet50,3,pca256,10.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5180826187133789
IDC,resnet50,3,pca256,100.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5182228684425354
IDC,resnet50,3,pca256,1000.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5195664763450623
IDC,resnet50,3,pca256,10000.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5254814028739929
IDC,resnet50,3,pca256,100000.0,False,0.0078125,256,417.1107177734375,117089.15625,0.5130050778388977
IDC,resnet50,3,pca256,1000000.0,False,0.0078125,256,417.1107177734375,117089.15625,0.4758951067924499
IDC,resnet50,3,raw,0.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.4687213599681854
IDC,resnet50,3,raw,0.0001,False,0.001953125,1024,22922.50390625,32530.904296875,0.4696234762668609
IDC,resnet50,3,raw,0.001,False,0.001953125,1024,22922.50390625,32530.904296875,0.4696235358715057
IDC,resnet50,3,raw,0.01,False,0.001953125,1024,22922.50390625,32530.904296875,0.4696240127086639
IDC,resnet50,3,raw,0.1,False,0.001953125,1024,22922.50390625,32530.904296875,0.4696290493011474
IDC,resnet50,3,raw,1.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.4697456359863281
IDC,resnet50,3,raw,10.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.4705225229263305
IDC,resnet50,3,raw,100.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.4748251736164093
IDC,resnet50,3,raw,1000.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.4944413900375366
IDC,resnet50,3,raw,10000.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.5202397108078003
IDC,resnet50,3,raw,100000.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.5125847458839417
IDC,resnet50,3,raw,1000000.0,False,0.001953125,1024,22922.50390625,32530.904296875,0.4758728742599487
