setting,variant,n_L,label_unit,arm,estimand,population,gene,n_draws,theta_full,lambda_mean,G_L,G_U,df_cluster,cluster_variance_form,status,width_ratio_iid,width_ratio_iid_median,width_mean_pp_iid,width_mean_cl_iid,width_ratio_cluster,width_ratio_cluster_median,width_mean_pp_cluster,width_mean_cl_cluster,width_ratio_boot,width_ratio_boot_median,width_mean_pp_boot,width_mean_cl_boot,pearson_gene,pearson_task
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CIB1,200,0.14769851770169198,0.4488214803646231,6,18,5,separate,ok,0.8486953846321132,0.8791489200904947,0.002722991520500129,0.0032995996328956502,0.8484500863548502,0.8794292857621434,0.16480419847730918,0.19950606507895452,0.8516192261602695,0.8659256174739336,0.1221570990859371,0.14733348343614197,0.3805094781168632,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CKB,200,0.10906731318644021,0.38351853721904666,6,18,5,separate,ok,0.8689546929379515,0.9033292842049474,0.0024823137768765317,0.002862124766266583,0.8597262900541466,0.8797012805750418,0.15823906434277635,0.18461685260203248,0.8657020850196799,0.8950470770244856,0.11753681283735426,0.1364899670314571,0.3040999526203282,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CPD,200,0.12175482956998435,0.2345386355008025,6,18,5,separate,ok,0.8558303020276395,0.8987304434227235,0.0024791422510064133,0.0028340713961583818,0.869509651598133,0.8973474686550342,0.17107243391241184,0.18947491228801472,0.8746188590778884,0.9217990209098276,0.12717424430199667,0.14047014436522676,0.1650713665065007,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,CPE,200,0.12471275198584904,0.18684595228708975,6,18,5,separate,ok,0.9754875134382571,1.0,0.003776601975651381,0.0038794692850739653,0.9597461994694615,0.9933824815368236,0.2516148508756451,0.2632155591413755,0.9622533827391593,1.0,0.1880429395938611,0.19615244102921367,0.3301139662217826,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,DERL1,200,0.13225399402749255,0.16352426740446382,6,18,5,separate,ok,0.9515766158033304,0.998640773932449,0.002731551382857562,0.002870092899992712,0.9455267387334555,0.9919624505109905,0.17698535937711532,0.18568196417325578,0.9470183264225415,0.9972798181386262,0.13085421190479518,0.13720211755912037,0.2905657335923822,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,DNAJB12,200,0.04971481566161931,0.418230423010488,6,18,5,separate,ok,0.814074195501953,0.8313814204308649,0.0013426998156844342,0.0017575486281919423,0.7912917655634308,0.8103062688911495,0.07586850372008565,0.10292844122267152,0.8021231008444283,0.8344954647440774,0.05655422216286347,0.0754003489817342,0.197879594954199,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,EGFL7,200,0.06994690149331757,0.41581761949092,6,18,5,separate,ok,0.8681668642251246,0.9126127130236941,0.0026447489044755523,0.0033677172399544995,0.8348849122237434,0.848623616588501,0.15404833854488106,0.2046555062583487,0.8402247737347657,0.8664213656915275,0.11358559667913688,0.14958354514522842,0.4567152991587431,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,FLNB,200,0.10395850710929655,0.3857010303546214,6,18,5,separate,ok,0.8354695596327698,0.8768825817511755,0.0022631081854949204,0.002796590083451474,0.8252423178267765,0.8638155300025131,0.13947479437575172,0.17252491592691768,0.8350944527745198,0.8657219986848608,0.10419830863799255,0.12729910926789983,0.2752387741533186,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,GADD45B,200,0.05372670801360623,0.37804220105817415,6,18,5,separate,ok,0.8740303639490098,0.9039245582232259,0.002638739183744211,0.0029385614659627945,0.8401948199489334,0.8614181513611774,0.15273928985369425,0.17841569418793887,0.845908089182482,0.8773788797380546,0.11322143366841037,0.13166349927430276,0.2363513554028974,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,GPNMB,200,0.014482395755714458,0.29891049263551017,6,18,5,separate,ok,0.8465929256340132,0.9628703864150114,0.0013742477926763003,0.0017708625922396926,0.8547979853479114,0.9494733170478871,0.08761634354054335,0.1099333736663296,0.86157402525285,0.9431945878304291,0.06537694021803747,0.08110670205414841,0.3262248297607919,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,H3F3A,200,0.09663590430511426,0.5713851278619857,6,18,5,separate,ok,0.7350706251120959,0.7195232274238093,0.0031534228332430027,0.0048802434664789755,0.7161716658453093,0.7062673524148216,0.17859744151472623,0.28828457212425695,0.730612840597232,0.7217546375845303,0.1332154081707087,0.20928784802754088,0.6642170438061082,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,HMOX1,200,0.0708532875449607,0.6409570703479183,6,18,5,separate,ok,0.7838641761895935,0.8064074712495322,0.002524737043603788,0.003522906586267376,0.7901547947277386,0.8224909586077522,0.1534288260139096,0.20842151655149443,0.799018581654375,0.8345693519357356,0.11395814064904412,0.15305560291743514,0.3304193698555685,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,donor,HNRNPK,200,0.13529150938143772,0.576850552244331,6,18,5,separate,ok,0.7558972355085254,0.760999472080649,0.00303175979795368,0.004663880289818909,0.7359176092551803,0.7483637694109118,0.17285047525649333,0.27474361731782976,0.7470579000402379,0.7506656953195274,0.12867652888653466,0.19987345373617124,0.6263001325557279,0.31839430874006125
