setting,variant,n_L,label_unit,arm,estimand,population,gene,estimator,variance,n_draws,n_finite,frac_nonfinite,coverage,width_mean,width_median,nominal,theta_full,cluster_variance_form,df_cluster,status
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,classical,cluster,200,200.0,0.0,0.79,1.0622547410010392,0.9946141108895699,0.9,0.2641878317937275,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,classical,boot,200,200.0,0.0,0.74,0.7841497454434481,0.7579814756826411,0.9,0.2641878317937275,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,pp,iid,200,200.0,0.0,0.025,0.021070905791792934,0.01962373771914297,0.9,0.2641878317937275,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,pp,cluster,200,200.0,0.0,0.825,0.6977263423725921,0.4996677483144253,0.9,0.2641878317937275,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,pp,boot,200,200.0,0.0,0.755,0.5325539905106315,0.3899013622786123,0.9,0.2641878317937275,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,classical,iid,200,200.0,0.0,0.04,0.015056953902056795,0.013637526021761194,0.9,0.07124886313401123,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,classical,cluster,200,200.0,0.0,0.93,0.420361505927009,0.40080115806279426,0.9,0.07124886313401123,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,classical,boot,200,200.0,0.0,0.865,0.32897014490621074,0.3033595182603313,0.9,0.07124886313401123,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,pp,iid,200,200.0,0.0,0.05,0.013292204573798897,0.012078180033003282,0.9,0.07124886313401123,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,pp,cluster,200,200.0,0.0,0.955,0.2826603830060681,0.23774683801937327,0.9,0.07124886313401123,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,pp,boot,200,200.0,0.0,0.925,0.2241082340654839,0.18129863627855547,0.9,0.07124886313401123,separate,5.0,ok
