head,encoder,task,split,pearson,run_ts
pca_ridge,uni_v2,LYMPH_IDC,2,0.2957,26-09-13-17-27-49
pca_ridge,uni_v2,LYMPH_IDC,3,0.2529,26-09-13-17-27-49
pca_ridge,uni_v2,PAAD,0,0.4654,26-09-13-17-27-49
pca_ridge,uni_v2,PAAD,1,0.5556,26-09-13-17-27-49
pca_ridge,uni_v2,PAAD,2,0.4793,26-09-13-17-27-49
pca_ridge,uni_v2,PRAD,0,0.4062,26-09-13-17-27-49
pca_ridge,uni_v2,PRAD,1,0.3073,26-09-13-17-27-49
pca_ridge,uni_v2,READ,0,0.2603,26-09-13-17-27-49
pca_ridge,uni_v2,READ,1,0.1851,26-09-13-17-27-49
pca_ridge,uni_v2,SKCM,0,0.6763,26-09-13-17-27-49
pca_ridge,uni_v2,SKCM,1,0.6462,26-09-13-17-27-49
pca_ridge,virchow,CCRCC,0,0.2207,26-09-13-16-41-05
pca_ridge,virchow,CCRCC,1,0.2386,26-09-13-16-41-05
pca_ridge,virchow,CCRCC,2,0.2474,26-09-13-16-41-05
pca_ridge,virchow,CCRCC,3,0.3067,26-09-13-16-41-05
pca_ridge,virchow,CCRCC,4,0.2484,26-09-13-16-41-05
pca_ridge,virchow,CCRCC,5,0.2899,26-09-13-16-41-05
pca_ridge,virchow,COAD,0,0.3082,26-09-13-16-41-05
pca_ridge,virchow,COAD,1,0.3077,26-09-13-16-41-05
pca_ridge,virchow,HCC,0,0.0654,26-09-13-16-41-05
pca_ridge,virchow,HCC,1,0.1009,26-09-13-16-41-05
pca_ridge,virchow,IDC,0,0.454,26-09-13-16-41-05
pca_ridge,virchow,IDC,1,0.6377,26-09-13-16-41-05
pca_ridge,virchow,IDC,2,0.5437,26-09-13-16-41-05
pca_ridge,virchow,IDC,3,0.7032,26-09-13-16-41-05
pca_ridge,virchow,LUNG,0,0.5399,26-09-13-16-41-05
pca_ridge,virchow,LUNG,1,0.5927,26-09-13-16-41-05
pca_ridge,virchow,LYMPH_IDC,0,0.3172,26-09-13-16-41-05
pca_ridge,virchow,LYMPH_IDC,1,0.2199,26-09-13-16-41-05
pca_ridge,virchow,LYMPH_IDC,2,0.2746,26-09-13-16-41-05
pca_ridge,virchow,LYMPH_IDC,3,0.2323,26-09-13-16-41-05
pca_ridge,virchow,PAAD,0,0.4495,26-09-13-16-41-05
pca_ridge,virchow,PAAD,1,0.6067,26-09-13-16-41-05
pca_ridge,virchow,PAAD,2,0.4914,26-09-13-16-41-05
pca_ridge,virchow,PRAD,0,0.328,26-09-13-16-41-05
pca_ridge,virchow,PRAD,1,0.3476,26-09-13-16-41-05
pca_ridge,virchow,READ,0,0.2467,26-09-13-16-41-05
pca_ridge,virchow,READ,1,0.1495,26-09-13-16-41-05
pca_ridge,virchow,SKCM,0,0.6832,26-09-13-16-41-05
pca_ridge,virchow,SKCM,1,0.5653,26-09-13-16-41-05
pca_ridge,virchow2,CCRCC,0,0.2378,26-09-13-16-42-49
pca_ridge,virchow2,CCRCC,1,0.2565,26-09-13-16-42-49
pca_ridge,virchow2,CCRCC,2,0.2663,26-09-13-16-42-49
pca_ridge,virchow2,CCRCC,3,0.3485,26-09-13-16-42-49
pca_ridge,virchow2,CCRCC,4,0.1976,26-09-13-16-42-49
pca_ridge,virchow2,CCRCC,5,0.3247,26-09-13-16-42-49
pca_ridge,virchow2,COAD,0,0.2227,26-09-13-16-42-49
pca_ridge,virchow2,COAD,1,0.2934,26-09-13-16-42-49
pca_ridge,virchow2,HCC,0,0.0816,26-09-13-16-42-49
pca_ridge,virchow2,HCC,1,0.1067,26-09-13-16-42-49
pca_ridge,virchow2,IDC,0,0.4811,26-09-13-16-42-49
pca_ridge,virchow2,IDC,1,0.6422,26-09-13-16-42-49
pca_ridge,virchow2,IDC,2,0.5615,26-09-13-16-42-49
pca_ridge,virchow2,IDC,3,0.7036,26-09-13-16-42-49
pca_ridge,virchow2,LUNG,0,0.5523,26-09-13-16-42-49
pca_ridge,virchow2,LUNG,1,0.5845,26-09-13-16-42-49
pca_ridge,virchow2,LYMPH_IDC,0,0.2976,26-09-13-16-42-49
pca_ridge,virchow2,LYMPH_IDC,1,0.2168,26-09-13-16-42-49
pca_ridge,virchow2,LYMPH_IDC,2,0.281,26-09-13-16-42-49
pca_ridge,virchow2,LYMPH_IDC,3,0.2319,26-09-13-16-42-49
pca_ridge,virchow2,PAAD,0,0.4206,26-09-13-16-42-49
pca_ridge,virchow2,PAAD,1,0.5768,26-09-13-16-42-49
pca_ridge,virchow2,PAAD,2,0.436,26-09-13-16-42-49
pca_ridge,virchow2,PRAD,0,0.3877,26-09-13-16-42-49
pca_ridge,virchow2,PRAD,1,0.3181,26-09-13-16-42-49
pca_ridge,virchow2,READ,0,0.261,26-09-13-16-42-49
pca_ridge,virchow2,READ,1,0.1537,26-09-13-16-42-49
pca_ridge,virchow2,SKCM,0,0.6784,26-09-13-16-42-49
pca_ridge,virchow2,SKCM,1,0.6013,26-09-13-16-42-49
ridge_nopca,resnet50,CCRCC,0,0.1506,26-09-13-18-41-51
ridge_nopca,resnet50,CCRCC,1,0.241,26-09-13-18-41-51
ridge_nopca,resnet50,CCRCC,2,0.1256,26-09-13-18-41-51
ridge_nopca,resnet50,CCRCC,3,0.2559,26-09-13-18-41-51
ridge_nopca,resnet50,CCRCC,4,0.2122,26-09-13-18-41-51
ridge_nopca,resnet50,CCRCC,5,0.2762,26-09-13-18-41-51
ridge_nopca,resnet50,COAD,0,0.1397,26-09-13-18-41-51
ridge_nopca,resnet50,COAD,1,0.2611,26-09-13-18-41-51
ridge_nopca,resnet50,HCC,0,0.0191,26-09-13-18-41-51
ridge_nopca,resnet50,HCC,1,0.058,26-09-13-18-41-51
ridge_nopca,resnet50,IDC,0,0.4021,26-09-13-18-41-51
ridge_nopca,resnet50,IDC,1,0.4986,26-09-13-18-41-51
ridge_nopca,resnet50,IDC,2,0.4191,26-09-13-18-41-51
ridge_nopca,resnet50,IDC,3,0.4629,26-09-13-18-41-51
ridge_nopca,resnet50,LUNG,0,0.3367,26-09-13-18-41-51
ridge_nopca,resnet50,LUNG,1,0.4629,26-09-13-18-41-51
ridge_nopca,resnet50,LYMPH_IDC,0,0.2903,26-09-13-18-41-51
ridge_nopca,resnet50,LYMPH_IDC,1,0.169,26-09-13-18-41-51
ridge_nopca,resnet50,LYMPH_IDC,2,0.203,26-09-13-18-41-51
ridge_nopca,resnet50,LYMPH_IDC,3,0.1507,26-09-13-18-41-51
ridge_nopca,resnet50,PAAD,0,0.2913,26-09-13-18-41-51
ridge_nopca,resnet50,PAAD,1,0.4358,26-09-13-18-41-51
ridge_nopca,resnet50,PAAD,2,0.3018,26-09-13-18-41-51
ridge_nopca,resnet50,PRAD,0,0.3376,26-09-13-18-41-51
ridge_nopca,resnet50,PRAD,1,0.2142,26-09-13-18-41-51
ridge_nopca,resnet50,READ,0,0.1314,26-09-13-18-41-51
ridge_nopca,resnet50,READ,1,0.0027,26-09-13-18-41-51
ridge_nopca,resnet50,SKCM,0,0.4954,26-09-13-18-41-51
ridge_nopca,resnet50,SKCM,1,0.3323,26-09-13-18-41-51
