encoder,task,label_set,design,fold,K,n_units_total,calibration_unit,n_cal,n_test,between_share,between_share_q25,between_share_q75,between_var,within_var,n_genes,n_cal_draws,coverage_observed,width_observed,miss_above,miss_below,calibration_unit_a1,block_fold,shortfall,score,uses_test_labels
resnet50,IDC,audited,patient,3,1.0,2.0,patient,7760.0,3005.0,0.029260137889463144,0.003976171210280776,0.11434390201572525,0.01660304140605931,0.5672662964694046,50,3,0.8302074320576817,4.535682051408277,0.0774664448141985,0.0923261231281197,patient,False,0.06979256794231836,abs,True
resnet50,IDC,audited,slide_out,NCBI783,1.0,2.0,slide,4010.0,3005.0,0.027420750679058765,0.004348713777355935,0.09924746788902807,0.017342178441089207,0.6361085441705067,50,3,0.8615973377703826,4.802292694798797,0.0859212423738214,0.0524814198557959,slide,False,0.03840266222961741,abs,True
resnet50,IDC,audited,slide_out,NCBI785,1.0,2.0,slide,20761.0,4010.0,0.043501624968473124,0.006699458386492448,0.13878488959657145,0.02357995484002383,0.5567375125744849,50,3,0.7565270157938487,4.379938086524896,0.209886949293433,0.0335860349127182,slide,False,0.1434729842061513,abs,True
resnet50,IDC,audited,slide_out,TENX95,1.0,2.0,slide,4010.0,7760.0,0.07544320436783347,0.018753169890626142,0.2169293779094072,0.05634754021606547,0.649370466732464,50,3,0.894405498281787,5.350110855996724,0.0938642611683848,0.0117302405498281,slide,False,0.005594501718213074,abs,True
resnet50,IDC,audited,slide_out,TENX99,1.0,2.0,slide,4010.0,20761.0,0.03672797808563914,0.0057358775178184395,0.13870603418218394,0.016468593914292895,0.5339275536623027,50,3,0.866023473499992,4.792404434233369,0.0281993481367307,0.1057771783632772,slide,False,0.03397652650000804,abs,True
resnet50,IDC,shipped,donor,IDC_shipped_patient_1,1.0,2.0,donor,4010.0,20761.0,0.04001930975698145,0.005668171606836206,0.14058834721960026,0.016834729430691725,0.5203647196933427,50,3,0.8667796991153285,4.7820111019985445,0.0279800266525376,0.1052402742321339,donor,False,0.03322030088467154,abs,True
resnet50,IDC,shipped,donor,IDC_shipped_patient_2,1.0,2.0,donor,4010.0,7760.0,0.0781225326183316,0.013769376532366706,0.20983777063287568,0.051377458968931033,0.5791786439594739,50,3,0.8987792096219932,5.18609972958481,0.090520618556701,0.0107001718213058,donor,False,0.0012207903780068197,abs,True
resnet50,IDC,shipped,donor,NCBI783,1.0,2.0,donor,7760.0,3005.0,0.019964244335809546,0.0040879860268151465,0.10173440896808318,0.01162958210414855,0.5455454431210136,50,3,0.842216306156406,4.35144939364544,0.087542983915696,0.0702407099278979,donor,False,0.05778369384359405,abs,True
resnet50,IDC,shipped,donor,NCBI785,1.0,2.0,donor,20761.0,4010.0,0.041906902917502986,0.007454518293114545,0.14932213684394,0.024224385208500787,0.5585517964332005,50,3,0.7598453865336658,4.449980089744766,0.2094779717373233,0.0306766417290108,donor,False,0.14015461346633418,abs,True
resnet50,IDC,shipped,patient,0,1.0,2.0,patient,3005.0,20761.0,0.03410383777191202,0.004124712116332921,0.1133909704127421,0.012620308400959762,0.5244854429048664,50,3,0.8555448517251899,4.611341594559662,0.0297882247162146,0.1146669235585954,patient,False,0.04445514827481012,abs,True
