task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,scope,n_folds
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,1,7726,7303,0.9452498058503752,2.464390993118286,0.250539094209671,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,2,9855,9379,0.9516996448503298,2.306996583938598,0.3133437633514404,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,3,10619,10114,0.9524437329315378,2.200271844863892,0.377136766910553,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,4,10701,10263,0.9590692458648724,2.102264642715454,0.4382757842540741,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,5,10557,10077,0.9545325376527424,2.0712685585021973,0.5121619701385498,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,6,11579,11009,0.9507729510320408,2.016146183013916,0.5947384238243103,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,7,15777,14901,0.9444761361475564,1.9696011543273928,0.7181599736213684,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,8,24772,20066,0.8100274503471662,1.914337158203125,0.9192075729370116,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT1,predicted_value_decile,9,56625,25848,0.4564768211920529,1.830647587776184,1.2195549011230469,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,0,48267,42814,0.8870242608821762,2.134350061416626,-0.0003202490042895,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,1,35020,31529,0.9003141062250143,2.16375470161438,0.1933200061321258,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,2,27279,24083,0.8828402800689175,2.136990547180176,0.290806233882904,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,3,23035,19736,0.8567831560668547,2.116140127182007,0.370643675327301,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,4,20821,17324,0.8320445703856684,2.095956325531006,0.4415449500083923,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,5,21154,17062,0.8065614068261322,2.0941414833068848,0.5130661725997925,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,6,23306,18535,0.7952887668411568,2.076106309890747,0.5982306599617004,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,7,27833,20961,0.7530988395070599,2.0464255809783936,0.7185521125793457,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,8,34499,23634,0.6850633351691353,2.0180118083953857,0.8960778713226318,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT10,predicted_value_decile,9,36236,25805,0.7121371012253008,1.9534953832626345,1.216138243675232,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,0,4283,3562,0.8316600513658651,2.0702574253082275,0.0331823825836181,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,1,6164,5311,0.8616158338741077,2.129920721054077,0.1939153522253036,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,2,7186,6229,0.8668243807403284,2.1338932514190674,0.2876029908657074,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,3,8101,7085,0.8745833847673127,2.1525378227233887,0.3679074645042419,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,4,9159,8171,0.8921279615678568,2.1473031044006348,0.4494381248950958,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,5,10973,9875,0.8999362070536772,2.144312858581543,0.5319123268127441,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,6,14582,13243,0.9081744616650664,2.112624168395996,0.6107652187347412,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,7,21588,19809,0.9175931072818232,2.095446825027466,0.7213475704193115,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,8,35445,31744,0.8955847087036254,2.058199405670166,0.9098021984100342,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT11,predicted_value_decile,9,98369,65440,0.6652502312720471,1.913390040397644,1.318476915359497,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,0,459,437,0.9520697167755992,2.1453213691711426,0.0256759524345397,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,1,777,744,0.9575289575289576,2.1520628929138184,0.1817593574523925,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,2,1278,1255,0.9820031298904538,2.229607582092285,0.2886562645435333,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,3,1937,1881,0.9710893133711924,2.291344404220581,0.3614255487918854,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,4,2980,2912,0.9771812080536912,2.330485343933105,0.4415105283260345,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,5,4720,4579,0.9701271186440678,2.3245184421539307,0.525785505771637,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,6,8053,7860,0.97603377623246,2.28897476196289,0.6231869459152222,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,7,14717,14269,0.9695590133858802,2.241119146347046,0.7257041931152344,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,8,31881,29756,0.9333458799912172,2.157379388809204,0.8836445808410645,fold,
