task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,1,777,744,0.9575289575289575,2.1520628929138184,0.18175935745239258
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,2,1278,1255,0.9820031298904538,2.229607582092285,0.2886562645435333
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,3,1937,1881,0.9710893133711925,2.291344404220581,0.3614255487918854
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,4,2980,2912,0.9771812080536912,2.3304853439331055,0.44151052832603455
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,5,4720,4579,0.9701271186440678,2.3245184421539307,0.525785505771637
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,6,8053,7860,0.9760337762324599,2.2889747619628906,0.6231869459152222
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,7,14717,14269,0.9695590133858802,2.241119146347046,0.7257041931152344
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,8,31881,29756,0.9333458799912173,2.157379388809204,0.8836445808410645
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,9,150848,113879,0.7549254879083581,2.053295850753784,1.3960459232330322
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,0,65274,54198,0.8303152863314643,2.092301845550537,-0.00047592323971912265
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,1,70535,60841,0.8625646841993336,2.1137609481811523,0.1749684363603592
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,2,73944,65208,0.8818565400843882,2.1136817932128906,0.2715201675891876
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,3,78207,70170,0.8972342629176416,2.1169779300689697,0.3525737524032593
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,4,82428,74988,0.9097394089387102,2.1228597164154053,0.431379497051239
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,5,83099,77295,0.9301555975402833,2.1312038898468018,0.5157318115234375
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,6,76074,71518,0.9401109446065673,2.129420757293701,0.6088246703147888
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,7,59316,55845,0.9414829051183492,2.1404945850372314,0.7217523455619812
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,8,44667,41269,0.9239259408511877,2.1483547687530518,0.8651775121688843
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,9,20306,15589,0.7677041268590564,2.096358060836792,1.0673733949661255
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,0,60710,56619,0.9326140668753089,2.0709011554718018,0.03203677013516426
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,1,95000,90395,0.9515263157894737,2.1069698333740234,0.17212256789207458
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,2,104458,100379,0.9609508127668537,2.132939338684082,0.2683110237121582
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,3,103589,100366,0.9688866578497717,2.143519163131714,0.3512054681777954
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,4,94924,92873,0.9783932409085163,2.1568727493286133,0.43627986311912537
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,5,81532,79889,0.9798484030809989,2.159466505050659,0.5255707502365112
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,6,64953,63930,0.98425015010854,2.153862476348877,0.6235342025756836
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,7,45351,44527,0.9818306101298758,2.1432926654815674,0.7384132146835327
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,8,25503,24478,0.9598086499627495,2.1677229404449463,0.9025587439537048
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,9,8280,6989,0.8440821256038648,2.2485618591308594,1.1962469816207886
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,0,70986,64058,0.9024032907897331,1.9621254205703735,0.010085568763315678
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,1,85042,79043,0.9294583852684556,1.99242103099823,0.17443062365055084
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,2,85025,79564,0.9357718318141723,1.9973477125167847,0.2682120203971863
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,3,82562,77402,0.937501514013711,2.007211923599243,0.34842920303344727
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,4,79832,74769,0.9365793165647861,2.0239768028259277,0.4256531000137329
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,5,75891,70851,0.9335889631181563,2.048102378845215,0.5090868473052979
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,6,69966,65750,0.9397421604779465,2.0774919986724854,0.6038671731948853
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,7,64281,60703,0.9443381403525147,2.093485116958618,0.712711751461029
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,8,62492,57203,0.9153651667413429,2.1366920471191406,0.8733433485031128
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,9,64923,52011,0.8011182477704357,2.213256359100342,1.1970539093017578
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,0,65048,56956,0.8755995572500307,2.1065866947174072,0.033215589821338654
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,1,77092,69615,0.903011985679448,2.0144851207733154,0.18211276829242706
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,2,70757,65411,0.9244456378874175,1.9847347736358643,0.2723015248775482
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,3,60398,56762,0.939799331103679,1.9589197635650635,0.3461439311504364
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,4,51087,48471,0.9487932350695871,1.934221863746643,0.4185420274734497
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,5,44003,41915,0.9525486898620549,1.9192153215408325,0.4980287253856659
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,6,39051,37268,0.9543417582136181,1.8994097709655762,0.5892806053161621
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,7,33735,31665,0.9386393952867941,1.8959219455718994,0.7029972672462463
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,8,24708,22215,0.8991015055852356,1.9269397258758545,0.8410383462905884
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,9,15021,10259,0.6829771653019107,1.8603274822235107,1.0302069187164307
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,0,115079,108213,0.9403366383093353,2.0228936672210693,-0.03036530315876007
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,1,78443,75147,0.9579822291345308,2.0015997886657715,0.1749069094657898
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,2,63272,60897,0.9624636490074598,1.9770591259002686,0.27224498987197876
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,3,54018,52257,0.9673997556370099,1.9521962404251099,0.3514873683452606
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,4,48795,47311,0.9695870478532637,1.9392781257629395,0.42692819237709045
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,5,45236,43807,0.968410115836944,1.9209263324737549,0.5024393200874329
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,6,44488,42919,0.9647320625786729,1.9003021717071533,0.592058539390564
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,7,39380,37104,0.9422041645505332,1.9203035831451416,0.7128037810325623
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,8,29946,27217,0.908869298069859,1.9835208654403687,0.8556792736053467
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,9,19093,12090,0.6332163620174933,2.0782227516174316,1.1470500230789185
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,0,64452,58647,0.9099329733755352,2.3339996337890625,0.0027551893144845963
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,1,57776,52677,0.9117453613957353,2.2920801639556885,0.17979584634304047
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,2,58218,52979,0.9100106496272631,2.284543991088867,0.27560582756996155
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,3,63628,57591,0.9051203872508958,2.2958004474639893,0.3528176248073578
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,4,69706,63227,0.9070524775485611,2.319467544555664,0.42794719338417053
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,5,75778,68854,0.9086278339359709,2.3345253467559814,0.5097150802612305
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,6,79758,72396,0.9076957797336944,2.3023109436035156,0.6041792035102844
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,7,82540,73606,0.8917615701478071,2.230727434158325,0.7156834602355957
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,8,86591,73717,0.8513240406046818,2.143676996231079,0.852503776550293
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,9,98803,70281,0.7113245549224214,1.9641183614730835,1.117780089378357
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,0,164126,159124,0.9695234149373043,2.0321643352508545,-0.008855558931827545
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,1,136132,133208,0.9785208474128052,2.0853629112243652,0.17549651861190796
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,2,113085,110995,0.9815183269222266,2.1037817001342773,0.2789995074272156
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,3,93521,92166,0.9855112755423916,2.108264684677124,0.3624315559864044
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,4,76694,75493,0.9843403656087829,2.103421449661255,0.4410935342311859
