encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite,superseded_label_set
uni_v2,CCRCC,shipped,donor,C_unit,INT24,2,abs,donor,24388,7713,4510,1,0.9253569844789357,2.0016802219704086,2.6804534510806417,0.060736141906873604,0.013906873614190693,1.000840110985208,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT24,2,scaled,donor,24388,7713,4510,1,0.8917028824833703,1.7460559464745509,2.6359381413346608,0.09358314855875831,0.014713968957871394,2.3367872363208213,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT24,2,abs,block,24388,7713,4510,1,0.8767006651884702,1.6045479762240966,2.542261348906551,0.08393348115299337,0.03936585365853658,0.8022739881120513,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT24,2,scaled,block,24388,7713,4510,1,0.8424922394678493,1.4213134704682406,2.5440309717645206,0.1151042128603104,0.042403547671840354,1.9130408824362213,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT3,0,abs,donor,35996,20344,2007,1,0.9569207772795219,2.283980275859653,2.4771316672819497,0.03597409068261086,0.0071051320378674645,1.1419901379298312,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT3,0,scaled,donor,35996,20344,2007,1,0.9669357249626307,2.586611902746014,2.7606175216166524,0.03303437967115098,2.989536621823617e-05,3.218969745677737,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT3,0,abs,donor,24022,7910,2007,1,0.9538216243148977,2.255067715005424,2.4636997456709877,0.03756851021425013,0.008609865470852017,1.127533857502708,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT3,0,scaled,donor,24022,7910,2007,1,0.9624514200298951,2.5113066925079335,2.714016768403906,0.037219730941704034,0.0003288490284005979,3.168003413061756,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT3,0,abs,block,24022,7910,2007,1,0.8854110612855011,1.588680354925872,2.1668702477106745,0.0819531639262581,0.03263577478824117,0.7943401774629308,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT3,0,scaled,block,24022,7910,2007,1,0.8869955156950673,1.5505013950140114,2.219936355766016,0.10295964125560537,0.010044843049327356,1.9370947625917723,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT3,1,abs,donor,35996,19219,2007,1,0.9863776781265571,2.6365965640755316,2.6874023665089273,0.012904833084205284,0.000717488789237668,1.3182982820377578,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT3,1,scaled,donor,35996,19219,2007,1,0.9786347782760341,2.70742339810759,2.8051870922112245,0.021365221723966113,0.0,3.2657728214890356,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT3,1,abs,donor,24426,7884,2007,1,0.9866865969108122,2.6400715987080754,2.6889039148207403,0.012556053811659194,0.0007573492775286497,1.3200357993540408,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT3,1,scaled,donor,24426,7884,2007,1,0.9827404085700047,2.831912196484501,2.910725521622892,0.017259591429995016,0.0,3.3525094137904485,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT3,1,abs,block,24426,7884,2007,1,0.8614050822122572,1.500970709131767,2.1885101530776394,0.08750373692077726,0.05109118086696563,0.750485354565881,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT3,1,scaled,block,24426,7884,2007,1,0.9093971101145989,1.6453758617491498,2.1545098201438186,0.08351768809167912,0.007085201793721975,1.9548930120088852,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT3,2,abs,donor,35996,17234,2007,1,0.9707025411061285,2.278552989388678,2.388840636235216,0.024882909815645244,0.004414549078226209,1.13927649469433,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT3,2,scaled,donor,35996,17234,2007,1,0.959661185849527,2.2414730526597566,2.4317451823229272,0.03990034877927255,0.00043846537120079723,2.729422717842274,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT3,2,abs,donor,24333,7806,2007,1,0.9729048330842055,2.2957500195551557,2.3977125685465226,0.023487792725460886,0.0036073741903338307,1.1478750097775765,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT3,2,scaled,donor,24333,7806,2007,1,0.9616841056302942,2.2606195756654217,2.440444902820119,0.03781763826606876,0.0004982561036372694,2.7680780412298907,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT3,2,abs,block,24333,7806,2007,1,0.8898256103637273,1.591857052990326,2.088735713225578,0.07283507722969608,0.037339312406576994,0.7959285264951613,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT3,2,scaled,block,24333,7806,2007,1,0.9002989536621824,1.5561100716973122,2.0839808191217317,0.08891878425510714,0.010782262082710513,1.9181680283282057,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT4,0,abs,donor,35996,13610,1349,1,0.8858561897702001,2.0660489140161142,2.6112796282854935,0.008584136397331358,0.1055596738324685,1.0330244570080565,False,False
