encoder,task,label_set,fold,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_pool_spots,n_T_a1_natural,n_match_target,n_T_a1,n_blocks_chosen,n_blocks_total,n_block_spots,n_buffer_dropped,n_T_shared,n_C_unit_natural,n_C_matched,n_E,min_T_spots,status
uni_v2,IDC,shipped,NCBI783,1,donor,3,1,32531,24771,7015,7015,14,72,1433,285,5297,7760,1433,3005,1000,ok
uni_v2,IDC,shipped,NCBI783,2,donor,3,1,32531,24771,7015,7015,15,72,1440,390,5185,7760,1440,3005,1000,ok
uni_v2,IDC,shipped,NCBI785,0,donor,3,1,31526,28521,7015,7015,16,71,1438,308,5269,3005,1438,4010,1000,ok
uni_v2,IDC,shipped,NCBI785,1,donor,3,1,31526,10765,7015,7015,18,71,1649,589,4777,20761,1649,4010,1000,ok
uni_v2,IDC,shipped,NCBI785,2,donor,3,1,31526,10765,7015,7015,15,71,1511,563,4941,20761,1511,4010,1000,ok
uni_v2,IDC,audited,IDC_JanesickSample1,0,donor,2,1,7015,3005,3005,3005,8,36,659,316,2030,4010,659,28521,1000,ok
uni_v2,IDC,audited,NCBI783,0,donor,2,1,32531,4010,3005,3005,8,36,662,288,2055,28521,662,3005,1000,ok
uni_v2,IDC,audited,NCBI785,0,donor,2,1,31526,28521,3005,3005,15,71,635,62,2308,3005,635,4010,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_3,0,donor,3,1,14972,9980,9980,9980,16,72,2218,1248,6514,4992,2218,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_3,1,donor,3,1,14972,9980,9980,9980,16,72,2204,962,6814,4992,2204,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_3,2,donor,3,1,14972,9984,9980,9980,16,72,2214,959,6807,4988,2214,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_6,0,donor,3,1,14972,9984,9980,9980,16,72,2214,1163,6603,4988,2214,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_6,1,donor,3,1,14972,9984,9980,9980,16,72,2208,915,6857,4988,2208,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_6,2,donor,3,1,14972,9980,9980,9980,16,72,2209,922,6849,4992,2209,4992,1000,ok
