encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P5,1,abs,block,2287,746,3417,1,0.6956335967222711,2.006016368148878,6.015780883654163,0.12561896400351183,0.17874743927421718,1.0030081840744487,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P5,1,scaled,block,2287,746,3417,1,0.6806555458004098,2.124927579223167,6.62879693640037,0.13768803043605501,0.18165642376353522,2.538601098624744,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P5,2,abs,donor,3389,3535,3417,1,0.8930757974831728,3.5396099268137093,4.945609340854743,0.08325431665203396,0.02366988586479368,1.7698049634068322,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_Oliveira_P5,2,scaled,donor,3389,3535,3417,1,0.8330114135206321,3.432785321001042,5.350745315526787,0.12298507462686566,0.0440035118525022,4.105590106603126,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P5,2,abs,donor,2355,723,3417,1,0.8923266022827043,3.5852423131769466,4.990977271800937,0.08459467369037166,0.023078724026924208,1.7926211565884884,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_Oliveira_P5,2,scaled,donor,2355,723,3417,1,0.8403628914252269,4.149905097269028,6.049747925969757,0.11728416739830261,0.04235294117647058,5.361745899631265,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P5,2,abs,block,2355,723,3417,1,0.7282060286801287,1.9476555264139968,5.653136485703765,0.19459760023412354,0.07719637108574771,0.9738277632069895,False
hoptimus0,COAD,shipped,donor,C_block,COAD_Oliveira_P5,2,scaled,block,2355,723,3417,1,0.6757155399473221,1.9582987267428578,5.939968599754032,0.22412642669007896,0.10015803336259875,2.5099273977595327,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_donor_TENX111,0,abs,donor,3389,3620,5079,1,0.8800472533963379,3.0924834061759645,5.102084113924718,0.08430399684977358,0.03564874975388856,1.546241703087986,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_donor_TENX111,0,scaled,donor,3389,3620,5079,1,0.8665760976570192,3.3619623865385835,5.339085710458765,0.09446347706241387,0.03896042528056704,3.015676423151693,False
