encoder,design,n_folds,width_mean_pooled_over_folds,width_median_pooled_over_folds,coverage_mean_pooled_over_folds,n_task_files,width_mean_over_task_files,width_median_over_task_files,coverage_mean_over_task_files,benchmark_pca_ridge_avg_paper9,coverage_min_across_encoders,coverage_max_across_encoders,coverage_range_across_encoders,spearman_width_mean_vs_pearson,spearman_width_median_vs_pearson,spearman_coverage_vs_pearson
gigapath,random,33,1.8952639467687413,2.0309287336411352,0.8911095823727566,11,1.917078398254705,2.038888591315569,0.8939476670377124,0.3875,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
virchow2,random,33,1.848714879805629,1.9968359292919189,0.8916015166746679,11,1.8695510355198601,2.0035506023336698,0.8943555505741153,0.4033,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
virchow,random,33,1.8588740438027394,1.9876507694338057,0.891306392754356,11,1.8794048860964183,1.9945793239959344,0.8942167542304632,0.406,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
uni_v2,random,33,1.856041493083733,2.0045422403886493,0.8914648202012171,11,1.8763734655721442,2.0091166160989222,0.8942232434149733,0.4142,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
hoptimus0,random,33,1.8398159612921883,1.9802880576010864,0.8914896602722032,11,1.8583813765430586,1.987851883535387,0.8941717548193521,0.415,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
hoptimus1,random,33,1.8405834493789885,1.9786489171158197,0.8908835396214325,11,1.857647027927184,1.9845184384457035,0.8939753785218472,0.4229,0.8925813210467609,0.8943555505741153,0.0017742295273543984,-0.9090909090909092,-0.9300699300699302,0.5524475524475525
resnet50,slide_out,31,2.405466182984954,2.126935641890069,0.8796920396526875,3,2.900455992469159,2.092841040152824,0.8528432798451284,0.3252,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
ctranspath,slide_out,31,2.358828221081092,2.111938743561424,0.8796288255323023,3,2.777254682425206,2.0945588770742827,0.853408688332208,0.3468,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
phikon,slide_out,31,2.328117488690809,2.0958415169284925,0.87945564044598,3,2.7205343483781714,2.080275261519843,0.851745810476695,0.3661,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
conch_v1,slide_out,31,2.30359426846003,2.1111671458865175,0.8828898640143985,3,2.6605419178701766,2.078153647779938,0.8612160306133799,0.3696,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
conch_v15,slide_out,31,2.2829879546600846,2.081214674839473,0.8833781506385686,3,2.6426797366106474,2.0558141976386763,0.8634681047686331,0.3792,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
uni_v1,slide_out,31,2.309678720127391,2.1182598736988845,0.881313609168765,3,2.6488274790073603,2.095479503992673,0.8560441044256031,0.3856,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
gigapath,slide_out,31,2.327944863514664,2.1434765209865367,0.8845945213995288,3,2.661770819863808,2.1171074173994144,0.8633713967467066,0.3875,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
virchow2,slide_out,31,2.3276745909460774,2.1454670219466077,0.8824589597276796,3,2.632204254014308,2.135340066902985,0.8607782630733783,0.4033,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
virchow,slide_out,31,2.3178357169711825,2.1421736578551767,0.8830391607052063,3,2.6573721785524564,2.1033916359724825,0.8588969183481527,0.406,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
uni_v2,slide_out,31,2.2663814596683665,2.097974388259286,0.8833639699586107,3,2.573348468868398,2.0725075591209783,0.8614795922773845,0.4142,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
hoptimus0,slide_out,31,2.2845307501977214,2.105686219395693,0.8822904991148991,3,2.611810042814079,2.0778280390716013,0.8576714877488371,0.415,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
hoptimus1,slide_out,31,2.2674191987404706,2.09723771739888,0.8834951509027176,3,2.588337891417435,2.0647337086287036,0.8610130609269971,0.4229,0.851745810476695,0.8634681047686331,0.011722294291938162,-0.8741258741258742,-0.18181818181818185,0.43356643356643365
