head,encoder,task,pearson_mean,pearson_std,n_splits
raw_xgb,uni_v2,IDC,0.5484,0.0898,4
raw_xgb,uni_v2,LUNG,0.5626,0.0079,2
raw_xgb,uni_v2,LYMPH_IDC,0.2575,0.0606,4
raw_xgb,uni_v2,PAAD,0.4538,0.0687,3
raw_xgb,uni_v2,PRAD,0.3912,0.0104,2
raw_xgb,uni_v2,READ,0.1646,0.094,2
raw_xgb,uni_v2,SKCM,0.6034,0.0445,2
raw_xgb,virchow,CCRCC,0.2398,0.0362,6
raw_xgb,virchow,COAD,0.3366,0.0201,2
raw_xgb,virchow,HCC,0.0696,0.004,2
raw_xgb,virchow,IDC,0.551,0.0925,4
raw_xgb,virchow,LUNG,0.5692,0.0013,2
raw_xgb,virchow,LYMPH_IDC,0.2563,0.0591,4
raw_xgb,virchow,PAAD,0.4736,0.0712,3
raw_xgb,virchow,PRAD,0.371,0.0161,2
raw_xgb,virchow,READ,0.1492,0.096,2
raw_xgb,virchow,SKCM,0.6236,0.0352,2
raw_xgb,virchow2,CCRCC,0.2507,0.0396,6
raw_xgb,virchow2,COAD,0.2912,0.0313,2
raw_xgb,virchow2,HCC,0.0658,0.0006,2
raw_xgb,virchow2,IDC,0.5491,0.0834,4
raw_xgb,virchow2,LUNG,0.5762,0.0158,2
raw_xgb,virchow2,LYMPH_IDC,0.2602,0.058,4
raw_xgb,virchow2,PAAD,0.4486,0.0676,3
raw_xgb,virchow2,PRAD,0.3769,0.0052,2
raw_xgb,virchow2,READ,0.1796,0.1096,2
raw_xgb,virchow2,SKCM,0.595,0.0144,2
