head,encoder,task,split,pearson
raw_ridge,conch_v15,IDC,3,0.649
raw_ridge,conch_v15,LUNG,0,0.4547
raw_ridge,conch_v15,LUNG,1,0.5259
raw_ridge,conch_v15,LYMPH_IDC,0,0.3237
raw_ridge,conch_v15,LYMPH_IDC,1,0.1928
raw_ridge,conch_v15,LYMPH_IDC,2,0.2698
raw_ridge,conch_v15,LYMPH_IDC,3,0.2329
raw_ridge,conch_v15,PAAD,0,0.3861
raw_ridge,conch_v15,PAAD,1,0.4663
raw_ridge,conch_v15,PAAD,2,0.3927
raw_ridge,conch_v15,PRAD,0,0.3862
raw_ridge,conch_v15,PRAD,1,0.3538
raw_ridge,conch_v15,READ,0,0.1989
raw_ridge,conch_v15,READ,1,0.1083
raw_ridge,conch_v15,SKCM,0,0.4481
raw_ridge,conch_v15,SKCM,1,0.429
raw_ridge,ctranspath,CCRCC,0,0.1515
raw_ridge,ctranspath,CCRCC,1,0.2532
raw_ridge,ctranspath,CCRCC,2,0.2089
raw_ridge,ctranspath,CCRCC,3,0.2425
raw_ridge,ctranspath,CCRCC,4,0.2027
raw_ridge,ctranspath,CCRCC,5,0.2724
raw_ridge,ctranspath,COAD,0,0.1487
raw_ridge,ctranspath,COAD,1,0.2552
raw_ridge,ctranspath,HCC,0,0.015
raw_ridge,ctranspath,HCC,1,0.0174
raw_ridge,ctranspath,IDC,0,0.4362
raw_ridge,ctranspath,IDC,1,0.539
raw_ridge,ctranspath,IDC,2,0.4682
raw_ridge,ctranspath,IDC,3,0.5417
raw_ridge,ctranspath,LUNG,0,0.3703
raw_ridge,ctranspath,LUNG,1,0.4811
raw_ridge,ctranspath,LYMPH_IDC,0,0.273
raw_ridge,ctranspath,LYMPH_IDC,1,0.1846
raw_ridge,ctranspath,LYMPH_IDC,2,0.2166
raw_ridge,ctranspath,LYMPH_IDC,3,0.1834
raw_ridge,ctranspath,PAAD,0,0.3269
raw_ridge,ctranspath,PAAD,1,0.4713
raw_ridge,ctranspath,PAAD,2,0.3624
raw_ridge,ctranspath,PRAD,0,0.3688
raw_ridge,ctranspath,PRAD,1,0.242
raw_ridge,ctranspath,READ,0,0.1567
raw_ridge,ctranspath,READ,1,0.0149
raw_ridge,ctranspath,SKCM,0,0.4549
raw_ridge,ctranspath,SKCM,1,0.2399
raw_ridge,gigapath,CCRCC,0,0.1793
raw_ridge,gigapath,CCRCC,1,0.2979
raw_ridge,gigapath,CCRCC,2,0.1492
raw_ridge,gigapath,CCRCC,3,0.218
raw_ridge,gigapath,CCRCC,4,0.2088
raw_ridge,gigapath,CCRCC,5,0.2497
raw_ridge,gigapath,COAD,0,0.1131
raw_ridge,gigapath,COAD,1,0.2322
raw_ridge,gigapath,HCC,0,0.0174
raw_ridge,gigapath,HCC,1,-0.0058
raw_ridge,gigapath,IDC,0,0.436
raw_ridge,gigapath,IDC,1,0.5898
raw_ridge,gigapath,IDC,2,0.471
raw_ridge,gigapath,IDC,3,0.6324
raw_ridge,gigapath,LUNG,0,0.2279
raw_ridge,gigapath,LUNG,1,0.4021
raw_ridge,gigapath,LYMPH_IDC,0,0.2367
raw_ridge,gigapath,LYMPH_IDC,1,0.1532
raw_ridge,gigapath,LYMPH_IDC,2,0.2012
raw_ridge,gigapath,LYMPH_IDC,3,0.1809
raw_ridge,gigapath,PAAD,0,0.3149
raw_ridge,gigapath,PAAD,1,0.3379
raw_ridge,gigapath,PAAD,2,0.299
raw_ridge,gigapath,PRAD,0,0.3315
raw_ridge,gigapath,PRAD,1,0.2754
raw_ridge,gigapath,READ,0,0.1613
raw_ridge,gigapath,READ,1,0.0863
raw_ridge,gigapath,SKCM,0,0.2298
raw_ridge,gigapath,SKCM,1,0.2162
raw_ridge,hoptimus0,CCRCC,0,0.1838
raw_ridge,hoptimus0,CCRCC,1,0.2762
raw_ridge,hoptimus0,CCRCC,2,0.1997
raw_ridge,hoptimus0,CCRCC,3,0.2354
raw_ridge,hoptimus0,CCRCC,4,0.224
raw_ridge,hoptimus0,CCRCC,5,0.2868
raw_ridge,hoptimus0,COAD,0,0.1125
raw_ridge,hoptimus0,COAD,1,0.2128
raw_ridge,hoptimus0,HCC,0,0.021
raw_ridge,hoptimus0,HCC,1,0.0174
raw_ridge,hoptimus0,IDC,0,0.4544
raw_ridge,hoptimus0,IDC,1,0.6354
raw_ridge,hoptimus0,IDC,2,0.5378
raw_ridge,hoptimus0,IDC,3,0.6878
raw_ridge,hoptimus0,LUNG,0,0.2315
raw_ridge,hoptimus0,LUNG,1,0.3968
raw_ridge,hoptimus0,LYMPH_IDC,0,0.2115
raw_ridge,hoptimus0,LYMPH_IDC,1,0.1761
raw_ridge,hoptimus0,LYMPH_IDC,2,0.2329
raw_ridge,hoptimus0,LYMPH_IDC,3,0.1701
raw_ridge,hoptimus0,PAAD,0,0.3182
raw_ridge,hoptimus0,PAAD,1,0.2938
raw_ridge,hoptimus0,PAAD,2,0.3957
raw_ridge,hoptimus0,PRAD,0,0.2558
raw_ridge,hoptimus0,PRAD,1,0.2569
raw_ridge,hoptimus0,READ,0,0.1536
raw_ridge,hoptimus0,READ,1,0.0912
raw_ridge,hoptimus0,SKCM,0,0.283
raw_ridge,hoptimus0,SKCM,1,0.2726
raw_ridge,hoptimus1,CCRCC,0,0.1748
raw_ridge,hoptimus1,CCRCC,1,0.2495
raw_ridge,hoptimus1,CCRCC,2,0.2615
raw_ridge,hoptimus1,CCRCC,3,0.2639
raw_ridge,hoptimus1,CCRCC,4,0.2236
raw_ridge,hoptimus1,CCRCC,5,0.2881
raw_ridge,hoptimus1,COAD,0,0.1789
raw_ridge,hoptimus1,COAD,1,0.2516
raw_ridge,hoptimus1,HCC,0,0.0024
raw_ridge,hoptimus1,HCC,1,0.0312
raw_ridge,hoptimus1,IDC,0,0.4702
raw_ridge,hoptimus1,IDC,1,0.6228
raw_ridge,hoptimus1,IDC,2,0.5362
raw_ridge,hoptimus1,IDC,3,0.6803
raw_ridge,hoptimus1,LUNG,0,0.2217
raw_ridge,hoptimus1,LUNG,1,0.4133
raw_ridge,hoptimus1,LYMPH_IDC,0,0.2376
raw_ridge,hoptimus1,LYMPH_IDC,1,0.1962
raw_ridge,hoptimus1,LYMPH_IDC,2,0.2057
raw_ridge,hoptimus1,LYMPH_IDC,3,0.1981
raw_ridge,hoptimus1,PAAD,0,0.3466
raw_ridge,hoptimus1,PAAD,1,0.1897
raw_ridge,hoptimus1,PAAD,2,0.382
raw_ridge,hoptimus1,PRAD,0,0.2875
raw_ridge,hoptimus1,PRAD,1,0.3098
raw_ridge,hoptimus1,READ,0,0.1736
raw_ridge,hoptimus1,READ,1,0.099
raw_ridge,hoptimus1,SKCM,0,0.2467
raw_ridge,hoptimus1,SKCM,1,0.2908
raw_ridge,phikon,CCRCC,0,0.1808
raw_ridge,phikon,CCRCC,1,0.275
raw_ridge,phikon,CCRCC,2,0.2111
raw_ridge,phikon,CCRCC,3,0.3222
