head,encoder,task,pearson_mean,pearson_std,n_splits,leaderboard,diff_vs_leaderboard,config_role,compare_to_leaderboard
raw_xgb,conch_v15,CCRCC,0.1751,0.0429,6,0.2176,-0.0425,A14 candidate - selected,False
raw_xgb,conch_v15,COAD,0.3126,0.0258,2,0.2802,0.0324,A14 candidate - selected,False
raw_xgb,conch_v15,HCC,0.048,0.0016,2,,,A14 candidate - selected,False
raw_xgb,conch_v15,IDC,0.519,0.0955,4,0.544,-0.025,A14 candidate - selected,False
raw_xgb,conch_v15,LUNG,0.5636,0.0252,2,0.5513,0.0123,A14 candidate - selected,False
raw_xgb,conch_v15,LYMPH_IDC,0.2575,0.0705,4,0.2699,-0.0124,A14 candidate - selected,False
raw_xgb,conch_v15,PAAD,0.4317,0.0776,3,0.457,-0.0253,A14 candidate - selected,False
raw_xgb,conch_v15,PRAD,0.3748,0.0125,2,0.3808,-0.006,A14 candidate - selected,False
raw_xgb,conch_v15,READ,0.1318,0.0883,2,0.16,-0.0282,A14 candidate - selected,False
raw_xgb,conch_v15,SKCM,0.5864,0.0349,2,0.5517,0.0347,A14 candidate - selected,False
raw_xgb,ctranspath,CCRCC,0.189,0.0421,6,0.2362,-0.0472,A14 candidate - selected,False
raw_xgb,ctranspath,COAD,0.2953,0.0123,2,0.2382,0.0571,A14 candidate - selected,False
