key,value,unit,source,note
width_ratio_cluster_theta3_CCRCC_spot_permuted_nL6,0.6251878142589625,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_permuted_nL8,0.2929821081519416,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_permuted_nL8,0.8078213958728233,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_permuted_nL12,0.2319356567518184,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_permuted_nL12,0.8441081994956903,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_resnet50_nL6,0.6314524683570957,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_resnet50_nL6,0.5491017757027622,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_resnet50_nL8,0.28899670284626566,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_resnet50_nL8,0.8008987090027135,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_resnet50_nL12,0.2939517746378536,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_resnet50_nL12,0.7891070061367391,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_uni_v2_nL6,0.7437077977195634,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_uni_v2_nL6,0.6297020569043672,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_uni_v2_nL8,0.3184841102588404,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_uni_v2_nL8,0.8344642514321294,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_spot_uni_v2_nL12,0.3361383413904927,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_spot_uni_v2_nL12,0.7749384310915494,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_hoptimus0_nL6,0.0643151059047284,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_hoptimus0_nL6,0.9913675234331771,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_hoptimus0_nL8,0.8758944859627322,lambda,b1_estimates.csv,
