arm,task,encoder,design,method,fold,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,width_mean_spotgene,width_median_spotgene,n_T,n_C,n_eff
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_29-10013,0.9542446755819712,1.6575435183238028,1.6575435183238028,1.8489133391054584,0.0270827142149579,0.0186726102030708,1.6575435183238028,1.502727106261009,16135.0,4784.666666666667,4784.666666666667
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_29-10280,0.8954506957047791,1.557468743804847,1.5574687438048471,2.024632969752674,0.0524863883847549,0.0520629159104658,1.5574687438048471,1.4583245292289346,16135.0,7334.0,7334.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_29-10282,0.850834392206692,1.5422827126166598,1.5422827126166594,2.2443863681137395,0.0752647183396865,0.0739008894536213,1.5422827126166594,1.391958506036854,16135.0,9195.0,9195.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_29-10404,0.9013185185185184,1.574630893283593,1.5746308932835935,2.0918417699157,0.0746518518518518,0.0240296296296296,1.574630893283593,1.4753515222224067,16135.0,6047.333333333333,6047.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_30-10125,0.8604134366925065,1.56063916121668,1.56063916121668,2.2442296908845782,0.0994935400516796,0.0400930232558139,1.56063916121668,1.461711647230991,16135.0,9294.0,9294.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_30-10631,0.8976562499999999,1.5877354919964333,1.5877354919964333,2.177073952168356,0.0714166666666666,0.0309270833333333,1.5877354919964333,1.4985080601832113,16135.0,5302.0,5302.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_30-10929,0.8292430278884463,1.6316884336535342,1.6316884336535342,2.83894013845237,0.1363877822045152,0.0343691899070385,1.6316884336535349,1.4994564284440557,16135.0,7010.666666666667,7010.666666666667
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_31-10042,0.898291735995563,1.68769368677993,1.68769368677993,2.302870732324107,0.095440931780366,0.0062673322240709,1.68769368677993,1.579718470101648,16135.0,5200.0,5200.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_31-10221,0.9102417302798984,1.6156611937456649,1.615661193745665,2.09823119406646,0.0771119592875318,0.0126463104325699,1.6156611937456649,1.4894787342422002,16135.0,7288.666666666667,7288.666666666667
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_32-10003,0.7897665732959851,1.554292823386284,1.554292823386284,3.145811159338009,0.196657329598506,0.0135760971055088,1.5542928233862845,1.45067539200671,16135.0,7955.0,7955.0
