task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
IDC,shipped,resnet50,random,abs,0,4,0,spot,TENX99,0.925137976346912,2.534467552259219,3.1109215498544653,0.042619908015768725,0.03224211563731932,12176,50
IDC,shipped,resnet50,random,abs,1,0,0,spot,NCBI783,0.8309967845659163,2.513972504650027,4.288461297880744,0.0917684887459807,0.07723472668810288,622,50
IDC,shipped,resnet50,random,abs,1,0,0,spot,NCBI785,0.8438228438228438,2.513972504650032,4.0123788104047176,0.08102564102564103,0.07515151515151515,858,50
IDC,shipped,resnet50,random,abs,1,0,0,spot,TENX95,0.8871066588096642,2.51397250465004,3.5031235692474167,0.06873305833824396,0.04416028285209193,1697,50
IDC,shipped,resnet50,random,abs,1,0,0,spot,TENX99,0.9223827187431813,2.5139725046499977,3.1181737848563613,0.0437006327732926,0.033916648483526074,4583,50
IDC,shipped,resnet50,random,abs,1,1,0,spot,NCBI783,0.8328445747800586,2.5275391476520097,4.2005697794764965,0.0827565982404692,0.08439882697947214,682,50
IDC,shipped,resnet50,random,abs,1,1,0,spot,NCBI785,0.8495809739524348,2.527539147652012,3.921742801904446,0.07556058890147226,0.07485843714609286,883,50
IDC,shipped,resnet50,random,abs,1,1,0,spot,TENX95,0.8824480369515011,2.5275391476519973,3.579552017263213,0.0715242494226328,0.04602771362586605,1732,50
IDC,shipped,resnet50,random,abs,1,1,0,spot,TENX99,0.9251758906565091,2.5275391476520435,3.1122319380727337,0.0422227201434013,0.03260138920008963,4463,50
IDC,shipped,resnet50,random,abs,1,2,0,spot,NCBI783,0.8313097072419106,2.521017690952859,4.231993055518797,0.09016949152542372,0.07852080123266564,649,50
IDC,shipped,resnet50,random,abs,1,2,0,spot,NCBI785,0.8390389016018307,2.521017690952857,4.140386324406479,0.08723112128146454,0.0737299771167048,874,50
IDC,shipped,resnet50,random,abs,1,2,0,spot,TENX95,0.8863176265270506,2.521017690952854,3.518401935375495,0.06819080860965678,0.045491564863292616,1719,50
IDC,shipped,resnet50,random,abs,1,2,0,spot,TENX99,0.9246170872067286,2.5210176909528514,3.1060266507112892,0.0431916777335104,0.03219123505976095,4518,50
IDC,shipped,resnet50,random,abs,1,3,0,spot,NCBI783,0.8376838810641628,2.537566032976588,4.149123244111799,0.08917057902973395,0.07314553990610329,639,50
IDC,shipped,resnet50,random,abs,1,3,0,spot,NCBI785,0.8443237250554324,2.5375660329765926,4.025144291371325,0.08937915742793791,0.06629711751662971,902,50
IDC,shipped,resnet50,random,abs,1,3,0,spot,TENX95,0.8896399535423926,2.5375660329766005,3.4893432333139702,0.06794425087108014,0.04241579558652729,1722,50
IDC,shipped,resnet50,random,abs,1,3,0,spot,TENX99,0.9259372915276852,2.5375660329765983,3.1146325908469317,0.04189904380698243,0.03216366466533244,4497,50
IDC,shipped,resnet50,random,abs,1,4,0,spot,NCBI783,0.8375581395348837,2.527556384156422,4.128837533982661,0.08046511627906977,0.0819767441860465,688,50
IDC,shipped,resnet50,random,abs,1,4,0,spot,NCBI785,0.8452551574375679,2.5275563841564206,3.9700466769113154,0.08169381107491856,0.07305103148751357,921,50
IDC,shipped,resnet50,random,abs,1,4,0,spot,TENX95,0.8848102743724461,2.527556384156423,3.55881648853952,0.07019264448336253,0.04499708114419148,1713,50
IDC,shipped,resnet50,random,abs,1,4,0,spot,TENX99,0.9261604326273095,2.5275563841564135,3.0981204039172443,0.04185669220369536,0.03198287516899504,4438,50
IDC,shipped,resnet50,random,abs,2,0,0,spot,NCBI783,0.8404705882352941,2.5191806844945983,4.1595569201694556,0.08594117647058823,0.07358823529411765,340,50
IDC,shipped,resnet50,random,abs,2,0,0,spot,NCBI785,0.8500440528634361,2.519180684494598,3.960621440053141,0.07519823788546255,0.07475770925110133,454,50
IDC,shipped,resnet50,random,abs,2,0,0,spot,TENX95,0.8801660735468565,2.519180684494593,3.6523307452177183,0.07563463819691578,0.04419928825622776,843,50
IDC,shipped,resnet50,random,abs,2,0,0,spot,TENX99,0.9241045090602613,2.519180684494558,3.092427814556193,0.043076274757690686,0.03281921618204804,2373,50
IDC,shipped,resnet50,random,abs,2,1,0,spot,NCBI783,0.8342857142857143,2.5215086445015875,4.208640998737524,0.0872670807453416,0.0784472049689441,322,50
IDC,shipped,resnet50,random,abs,2,1,0,spot,NCBI785,0.8400426439232409,2.5215086445015875,4.219375028450221,0.08162046908315565,0.07833688699360342,469,50
IDC,shipped,resnet50,random,abs,2,1,0,spot,TENX95,0.8827968923418423,2.521508644501575,3.5739728604416623,0.07172031076581577,0.045482796892341845,901,50
IDC,shipped,resnet50,random,abs,2,1,0,spot,TENX99,0.9268075927523728,2.5215086445015675,3.0896008494413754,0.0418032786885246,0.031389128559102676,2318,50
IDC,shipped,resnet50,random,abs,2,2,0,spot,NCBI783,0.8208797653958945,2.5254299860099247,4.421133683294615,0.08697947214076246,0.09214076246334311,341,50
IDC,shipped,resnet50,random,abs,2,2,0,spot,NCBI785,0.8555156950672645,2.5254299860099234,3.8297117807074086,0.08493273542600896,0.05955156950672646,446,50
IDC,shipped,resnet50,random,abs,2,2,0,spot,TENX95,0.8831422018348625,2.5254299860099287,3.5852121183823664,0.07392201834862386,0.04293577981651376,872,50
IDC,shipped,resnet50,random,abs,2,2,0,spot,TENX99,0.9257252233092301,2.5254299860099265,3.1039774717975637,0.042245852828583584,0.0320289238621863,2351,50
IDC,shipped,resnet50,random,abs,2,3,0,spot,NCBI783,0.836891495601173,2.5163665899404437,4.124247132217398,0.07354838709677419,0.0895601173020528,341,50
IDC,shipped,resnet50,random,abs,2,3,0,spot,NCBI785,0.8459030837004405,2.5163665899404433,3.880151971385363,0.07740088105726872,0.07669603524229075,454,50
IDC,shipped,resnet50,random,abs,2,3,0,spot,TENX95,0.8817321016166282,2.5163665899404393,3.57088330512178,0.07628175519630485,0.04198614318706698,866,50
IDC,shipped,resnet50,random,abs,2,3,0,spot,TENX99,0.9222988505747126,2.516366589940456,3.129565820626088,0.043959131545338447,0.03374201787994891,2349,50
IDC,shipped,resnet50,random,abs,2,4,0,spot,NCBI783,0.8341935483870968,2.525512702965667,4.1951553901973035,0.08800000000000001,0.07780645161290323,310,50
IDC,shipped,resnet50,random,abs,2,4,0,spot,NCBI785,0.8433718244803695,2.5255127029656674,4.031477732345543,0.0843879907621247,0.07224018475750578,433,50
IDC,shipped,resnet50,random,abs,2,4,0,spot,TENX95,0.8806414662084765,2.5255127029656688,3.6547466499828913,0.07592210767468499,0.043436426116838484,873,50
IDC,shipped,resnet50,random,abs,2,4,0,spot,TENX99,0.9276190476190476,2.525512702965656,3.077418758285258,0.04124477861319966,0.031136173767752715,2394,50
IDC,shipped,resnet50,random,abs,3,0,0,spot,NCBI783,0.8266914498141265,2.514500290937496,4.3465956675322905,0.1028996282527881,0.0704089219330855,269,50
IDC,shipped,resnet50,random,abs,3,0,0,spot,NCBI785,0.840185758513932,2.5145002909374967,4.1656626550193305,0.08396284829721362,0.07585139318885449,323,50
