encoder,task,fold,gene,pearson,n_train,n_test
resnet50,CCRCC,4,CD14,0.18358311390263268,59472,14748
resnet50,CCRCC,4,CHST15,0.17133211972468704,59472,14748
resnet50,CCRCC,4,CIB1,0.39900461439042917,59472,14748
resnet50,CCRCC,4,CKB,0.26082965705675604,59472,14748
resnet50,CCRCC,4,CPD,0.22642583291928622,59472,14748
resnet50,CCRCC,4,CPE,0.5368915328023306,59472,14748
resnet50,CCRCC,4,DERL1,0.4843415870516592,59472,14748
resnet50,CCRCC,4,DNAJB12,0.12207475033524687,59472,14748
resnet50,CCRCC,4,EGFL7,0.10801904148555265,59472,14748
resnet50,CCRCC,4,FLNB,0.16245864686489592,59472,14748
resnet50,CCRCC,4,GADD45B,0.06391946629980166,59472,14748
resnet50,CCRCC,4,GPNMB,0.1390966733482436,59472,14748
resnet50,CCRCC,4,H3F3A,0.3931787269426845,59472,14748
resnet50,CCRCC,4,HMOX1,0.3052290509297649,59472,14748
resnet50,CCRCC,4,HNRNPK,0.3397748453244739,59472,14748
resnet50,CCRCC,4,HSPA1A,0.0549436535963731,59472,14748
resnet50,CCRCC,4,HTRA1,-0.07427848502078462,59472,14748
resnet50,CCRCC,4,IFI27,0.3931138218873315,59472,14748
resnet50,CCRCC,4,IFI6,0.10086909296859205,59472,14748
resnet50,CCRCC,4,IRF7,0.25105992982363384,59472,14748
resnet50,CCRCC,4,ISG15,0.08275436407664899,59472,14748
resnet50,CCRCC,4,KRTCAP2,0.4268985723527531,59472,14748
resnet50,CCRCC,4,LAPTM4B,0.14691307261178607,59472,14748
resnet50,CCRCC,4,LRRC41,0.37965941481725307,59472,14748
resnet50,CCRCC,4,LY6E,0.397521181039917,59472,14748
resnet50,CCRCC,4,NAMPT,0.3183406433080511,59472,14748
resnet50,CCRCC,4,NOL3,0.22545917260386858,59472,14748
resnet50,CCRCC,4,NOTCH3,0.07795860645694044,59472,14748
resnet50,CCRCC,4,NT5DC2,0.02177189108065065,59472,14748
resnet50,CCRCC,4,PARP10,0.2390027468768311,59472,14748
resnet50,CCRCC,4,PTGS1,0.05806286570579221,59472,14748
resnet50,CCRCC,4,PXN,0.31575174113289556,59472,14748
resnet50,CCRCC,4,RXRA,0.088281028450833,59472,14748
resnet50,CCRCC,4,S100A9,-0.0653837689235058,59472,14748
resnet50,CCRCC,4,SCARB1,0.38027449282971926,59472,14748
resnet50,CCRCC,4,SEMA4B,0.41596939789061027,59472,14748
resnet50,CCRCC,4,SLC15A4,0.43367103397777096,59472,14748
resnet50,CCRCC,4,SLC39A14,0.4196847430374615,59472,14748
resnet50,CCRCC,4,STK39,0.4568285382684033,59472,14748
resnet50,CCRCC,4,TFRC,0.04534261951173429,59472,14748
resnet50,CCRCC,4,TM2D3,0.11794936777339536,59472,14748
resnet50,CCRCC,4,TMEM91,0.46238290670183657,59472,14748
resnet50,CCRCC,4,TP53INP1,0.11906389031710547,59472,14748
resnet50,CCRCC,4,TRBC1,0.3279233311995421,59472,14748
resnet50,CCRCC,4,VMP1,0.4191212166326086,59472,14748
resnet50,CCRCC,4,YWHAE,0.4177975039025094,59472,14748
resnet50,CCRCC,5,AKAP8,0.23820369595295923,57566,16654
resnet50,CCRCC,5,BLVRB,0.15379916557175083,57566,16654
resnet50,CCRCC,5,BTF3,0.1995705276551608,57566,16654
resnet50,CCRCC,5,CD109,0.6138097420385489,57566,16654
resnet50,CCRCC,5,CD14,0.06895039074586992,57566,16654
resnet50,CCRCC,5,CHST15,0.4556455434627236,57566,16654
resnet50,CCRCC,5,CIB1,0.5247900551489224,57566,16654
resnet50,CCRCC,5,CKB,0.615704996130535,57566,16654
resnet50,CCRCC,5,CPD,0.1736844859327353,57566,16654
resnet50,CCRCC,5,CPE,0.6511465518501753,57566,16654
resnet50,CCRCC,5,DERL1,0.4497550401534812,57566,16654
resnet50,CCRCC,5,DNAJB12,0.2203462188825993,57566,16654
resnet50,CCRCC,5,EGFL7,0.12914760129548122,57566,16654
resnet50,CCRCC,5,FLNB,0.5702703769562883,57566,16654
resnet50,CCRCC,5,GADD45B,0.17500649836860319,57566,16654
resnet50,CCRCC,5,GPNMB,0.2534420067109709,57566,16654
resnet50,CCRCC,5,H3F3A,0.11442384660151313,57566,16654
resnet50,CCRCC,5,HMOX1,0.1719750506864341,57566,16654
resnet50,CCRCC,5,HNRNPK,0.18256429594467474,57566,16654
resnet50,CCRCC,5,HSPA1A,0.15393702138125626,57566,16654
resnet50,CCRCC,5,HTRA1,0.18437552758932554,57566,16654
resnet50,CCRCC,5,IFI27,0.32190769765627025,57566,16654
resnet50,CCRCC,5,IFI6,0.23470363893316604,57566,16654
resnet50,CCRCC,5,IRF7,0.25102617349631845,57566,16654
resnet50,CCRCC,5,ISG15,0.3072492992605911,57566,16654
resnet50,CCRCC,5,KRTCAP2,0.27742168944326895,57566,16654
resnet50,CCRCC,5,LAPTM4B,0.23004440013337918,57566,16654
resnet50,CCRCC,5,LRRC41,0.5711205547884467,57566,16654
resnet50,CCRCC,5,LY6E,0.497963125168868,57566,16654
resnet50,CCRCC,5,NAMPT,0.28760041622552673,57566,16654
resnet50,CCRCC,5,NOL3,0.30616571504055423,57566,16654
resnet50,CCRCC,5,NOTCH3,0.2701084514912427,57566,16654
resnet50,CCRCC,5,NT5DC2,0.2475982075329645,57566,16654
resnet50,CCRCC,5,PARP10,0.29118642261539085,57566,16654
resnet50,CCRCC,5,PTGS1,0.1503498787574964,57566,16654
resnet50,CCRCC,5,PXN,0.4715411091435037,57566,16654
resnet50,CCRCC,5,RXRA,0.252112336477458,57566,16654
resnet50,CCRCC,5,S100A9,-0.04616067480161396,57566,16654
resnet50,CCRCC,5,SCARB1,0.2665256944592204,57566,16654
resnet50,CCRCC,5,SEMA4B,0.56426837495528,57566,16654
resnet50,CCRCC,5,SLC15A4,0.4647958206948585,57566,16654
resnet50,CCRCC,5,SLC39A14,0.2523870203501736,57566,16654
resnet50,CCRCC,5,STK39,0.2370305188071931,57566,16654
resnet50,CCRCC,5,TFRC,0.3603646077987683,57566,16654
resnet50,CCRCC,5,TM2D3,0.24847420077014779,57566,16654
resnet50,CCRCC,5,TMEM91,0.4321805827046545,57566,16654
resnet50,CCRCC,5,TP53INP1,0.12990139051013067,57566,16654
resnet50,CCRCC,5,TRBC1,-0.020764007065821412,57566,16654
resnet50,CCRCC,5,VMP1,0.3771030015474492,57566,16654
resnet50,CCRCC,5,YWHAE,0.18248988706212965,57566,16654
resnet50,COAD,0,AQP8,0.07016147653724018,5079,10572
resnet50,COAD,0,AREG,-0.2247743766678026,5079,10572
resnet50,COAD,0,BANK1,0.44145318574234427,5079,10572
resnet50,COAD,0,CA1,0.12045146822346718,5079,10572
resnet50,COAD,0,CA4,0.23580916496956883,5079,10572
resnet50,COAD,0,CALB2,0.019196266323122723,5079,10572
resnet50,COAD,0,CCL20,0.5615423021493008,5079,10572
resnet50,COAD,0,CCR7,0.5044455068322897,5079,10572
resnet50,COAD,0,CD177,0.16726829559423503,5079,10572
resnet50,COAD,0,CEACAM6,0.5734753515691595,5079,10572
resnet50,COAD,0,CEACAM7,0.24351165462251978,5079,10572
resnet50,COAD,0,CHGA,0.15027440240843234,5079,10572
resnet50,COAD,0,CHGB,0.394590344470223,5079,10572
resnet50,COAD,0,CHI3L2,0.30175616434901315,5079,10572
resnet50,COAD,0,CLCA1,-0.08837161825159794,5079,10572
resnet50,COAD,0,CLCA4,0.09054106727087755,5079,10572
resnet50,COAD,0,COL11A1,0.14358032066297427,5079,10572
resnet50,COAD,0,CTSE,0.33592688776694996,5079,10572
resnet50,COAD,0,CXCL10,0.4825066891509937,5079,10572
resnet50,COAD,0,CXCL13,0.30672054740672683,5079,10572
resnet50,COAD,0,DMBT1,0.20538802967383538,5079,10572
resnet50,COAD,0,DUOX2,0.32848912277478826,5079,10572
resnet50,COAD,0,FCRL1,0.46124493120885796,5079,10572
resnet50,COAD,0,GATA2,0.09758282679786098,5079,10572
resnet50,COAD,0,GCG,0.0404424605166796,5079,10572
resnet50,COAD,0,GUCA2A,-0.05226448913566021,5079,10572
resnet50,COAD,0,GUCA2B,0.2876572626026288,5079,10572
resnet50,COAD,0,HEPACAM2,0.13053193914400887,5079,10572
resnet50,COAD,0,IL1B,0.3173553690926935,5079,10572
resnet50,COAD,0,INSL5,0.08916301544753949,5079,10572
resnet50,COAD,0,ITLN1,0.4479718438751141,5079,10572
resnet50,COAD,0,LCN2,0.4843855751763707,5079,10572
resnet50,COAD,0,MMP1,0.09858610679343842,5079,10572
resnet50,COAD,0,MMP3,-0.13289321486448116,5079,10572
resnet50,COAD,0,MS4A1,0.451648192900922,5079,10572
resnet50,COAD,0,MS4A12,-0.017816903571651218,5079,10572
resnet50,COAD,0,NXPE4,-0.3500083894782086,5079,10572
resnet50,COAD,0,OLFM4,-0.15028187897001846,5079,10572
resnet50,COAD,0,OTOP2,0.15101222994892374,5079,10572
resnet50,COAD,0,PI3,0.4122670040392176,5079,10572
resnet50,COAD,0,PRPH,-0.005506648011068324,5079,10572
resnet50,COAD,0,RETNLB,0.3340457433358177,5079,10572
resnet50,COAD,0,SCG2,0.04271878060598871,5079,10572
resnet50,COAD,0,SCGN,-0.07206770245326988,5079,10572
resnet50,COAD,0,SLC26A3,0.4315630873231363,5079,10572
resnet50,COAD,0,SPIB,0.41523176959927144,5079,10572
resnet50,COAD,0,TCL1A,0.3973701777797859,5079,10572
resnet50,COAD,0,TMIGD1,0.23358783171469827,5079,10572
resnet50,COAD,0,TYMS,0.4667941430681222,5079,10572
resnet50,COAD,0,UGT2B17,0.24972781192510332,5079,10572
resnet50,COAD,1,AQP8,0.246818185774751,10572,5079
resnet50,COAD,1,AREG,0.29206799674535794,10572,5079
resnet50,COAD,1,BANK1,0.5567058391309911,10572,5079
resnet50,COAD,1,CA1,0.23175087460502167,10572,5079
