encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene,gene_index,alpha_g,alpha_g_oos,n_T,n_C,deviance_ratio,score_residual,guard_pass,mean_count_T,var_count_T,mean_count_E,var_count_E,_source
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,CLNS1A,9,0.1734818703270093,0.0,9980,4992,0.5818996924696801,3.621022339098432e-12,True,0.7255511022044088,1.7151302203565364,0.3048878205128205,0.3406052368622495,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,CROT,10,0.0830639042123378,2.7873320054808444,9980,4992,0.318245574883384,3.529280113259363e-11,True,1.7867735470941883,6.881877353263496,0.2594150641025641,0.2702980348601842,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,CXCL11,13,0.7295456839542344,0.7213191617760971,9980,4992,0.7486291935259972,2.2409257922735142e-08,True,0.7337675350701403,1.7913238140776997,0.2668269230769231,0.4549361928394186,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,GTPBP3,18,0.1108989286485759,0.1874986611877246,9980,4992,0.3763722890332603,8.941251468932239e-09,True,1.559819639278557,6.339842436652039,0.6115785256410257,0.7537268605926566,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,HAUS8,20,0.1150288253071436,0.418406728588169,9980,4992,0.2779724078083527,1.3750397664162305e-12,True,2.7851703406813626,20.137629543082557,0.2293669871794871,0.2489230213743712,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,IFIT2,22,1.0731150209587252,0.1431707672938756,9980,4992,0.6299449146326406,3.3382843845491294e-11,True,0.6354709418837675,2.527492061987488,0.2642227564102564,0.3507293496884135,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,MX1,27,0.4616614489983351,0.3030114437084742,9980,4992,0.4554431766815627,1.0401433453743559e-09,True,2.461122244488978,16.95639998305058,1.4611378205128205,2.5001924939249625,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,MYH11,29,0.276744160584241,21.553322974221953,9980,4992,0.6695355838005825,1.5657030777678427e-11,True,0.5445891783567134,1.260763384670935,0.1776842948717948,0.2262861211077375,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,NUDT1,31,0.1873077068077238,0.0,9980,4992,0.6570742184966851,4.47026212995003e-10,True,0.8049098196392785,1.614105563567259,0.1634615384615384,0.1744370636376246,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,POLD3,36,0.1160778771987442,0.0853203760745927,9980,4992,0.4154912990608273,1.4834313490855662e-12,True,1.7348697394789578,6.867267795436549,0.2670272435897436,0.2971453985764118,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,RAB38,39,0.2222294668711232,46.27823133436557,9980,4992,0.7975511549664028,1.0053096101938493e-08,True,0.4195390781563126,0.5728419560837277,5.435897435897436,18.446701498594905,a4_nb_dispersion__hoptimus0__main9.csv
