task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,_source
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,0,4161,3537,0.8500360490266763,0.8457700128424658,0.0195352874733856,4161,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,1,4298,3876,0.90181479758027,1.050651965667171,0.1874579087475279,4298,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,2,4252,3842,0.9035747883349012,1.177920179106891,0.2899172218588311,4252,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,3,4158,3788,0.911014911014911,1.2925099441212722,0.377787007913961,4158,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,4,4283,3905,0.9117441045995798,1.376114279929372,0.4628188591707039,4283,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,5,4217,3864,0.9162912022764998,1.455534332760256,0.5424285374859201,4217,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,6,4421,4009,0.9068084143858856,1.5426349825407148,0.6351762627940511,4421,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,7,4269,3881,0.9091122042632936,1.7023043352146288,0.770836650305985,4269,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,8,4275,3833,0.896608187134503,1.8887525127923976,1.0050963998538012,4275,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,3,predicted_value_decile,9,4398,3950,0.8981355161437017,2.2550313619116644,1.5600650331116417,4398,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,0,8904,7594,0.8528751123090745,0.8563547194378931,0.0195398836230117,8904,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,1,8794,7870,0.8949283602456221,1.0612462598788948,0.1899771361777206,8794,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,2,8741,7903,0.9041299622468824,1.1951212318384623,0.2886115059865147,8741,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,3,8802,8003,0.9092251760963418,1.3102142535077257,0.3734426535251221,8802,0,a4_by_decile__hoptimus0__cqrmain.csv
