encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene_index,quantile,n_T_natural,n_T_used,subsample_fallback,subsample_reason,subsample_size,seconds,cumulative_task_seconds,timebox_s,solver,failure,_source
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.863,346.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.123,350.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.715,355.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.134,359.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.76,363.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,6.864,370.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,0,-1,0,patient,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.942,375.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.088,378.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,6.573,385.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.754,390.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.138,395.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.601,399.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,6.552,406.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.817,410.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.995,415.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.697,419.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.716,424.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.935,429.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,1,-1,0,patient,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.781,434.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,2.967,437.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.818,442.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.779,446.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.947,451.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.765,456.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
