metric,scope,value,n,note
coverage_mean,donor_set=24 arm=random method=hcp,0.880833865634279,90,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=random method=hcp,0.003344908961554128,90,
width_mean,donor_set=24 arm=random method=hcp,1.6425317571541989,90,
width_median,donor_set=24 arm=random method=hcp,1.6025974165958812,90,
frac_cells_at_or_above_nominal,donor_set=24 arm=random method=hcp,0.0,90,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=random method=hcp,1.0,90,
n_T_donors_median,donor_set=24 arm=random method=hcp,24.0,90,
n_T_spots_matched_median,donor_set=24 arm=random method=hcp,35996.0,90,
n_T_spots_natural_median,donor_set=24 arm=random method=hcp,49174.0,90,
n_C_median,donor_set=24 arm=random method=hcp,12294.0,90,
K_median,donor_set=24 arm=random method=hcp,12294.0,90,
coverage_mean_by_encoder,donor_set=24 arm=random method=hcp encoder=hoptimus0,0.8827673685178659,30,
width_mean_by_encoder,donor_set=24 arm=random method=hcp encoder=hoptimus0,1.6048919071021392,30,
coverage_mean_by_encoder,donor_set=24 arm=random method=hcp encoder=resnet50,0.8767166033550392,30,
width_mean_by_encoder,donor_set=24 arm=random method=hcp encoder=resnet50,1.7217186698095728,30,
coverage_mean_by_encoder,donor_set=24 arm=random method=hcp encoder=uni_v2,0.8830176250299324,30,
width_mean_by_encoder,donor_set=24 arm=random method=hcp encoder=uni_v2,1.6009846945508859,30,
coverage_mean,donor_set=24 arm=random method=pooled,0.880833865634279,90,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=random method=pooled,0.003344908961554128,90,
width_mean,donor_set=24 arm=random method=pooled,1.6425317571541989,90,
width_median,donor_set=24 arm=random method=pooled,1.6025974165958812,90,
frac_cells_at_or_above_nominal,donor_set=24 arm=random method=pooled,0.0,90,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=random method=pooled,1.0,90,
n_T_donors_median,donor_set=24 arm=random method=pooled,24.0,90,
n_T_spots_matched_median,donor_set=24 arm=random method=pooled,35996.0,90,
n_T_spots_natural_median,donor_set=24 arm=random method=pooled,49174.0,90,
n_C_median,donor_set=24 arm=random method=pooled,12294.0,90,
K_median,donor_set=24 arm=random method=pooled,12294.0,90,
coverage_mean_by_encoder,donor_set=24 arm=random method=pooled encoder=hoptimus0,0.8827673685178659,30,
width_mean_by_encoder,donor_set=24 arm=random method=pooled encoder=hoptimus0,1.6048919071021392,30,
coverage_mean_by_encoder,donor_set=24 arm=random method=pooled encoder=resnet50,0.8767166033550392,30,
width_mean_by_encoder,donor_set=24 arm=random method=pooled encoder=resnet50,1.7217186698095728,30,
coverage_mean_by_encoder,donor_set=24 arm=random method=pooled encoder=uni_v2,0.8830176250299324,30,
width_mean_by_encoder,donor_set=24 arm=random method=pooled encoder=uni_v2,1.6009846945508859,30,
pearson_K6,encoder=hoptimus0 arm=a1_rule_K6 (17 training donors),0.1838267842953981,72,"per-gene Pearson pooled over the fold, mean over 50 genes, then over folds and draws"
pearson_K10,encoder=hoptimus0 arm=K10 (13 training donors),0.18065622737921216,72,
pearson_delta_K10_minus_K6,encoder=hoptimus0,-0.0031705569161858986,72,paired by fold and draw
pearson_delta_worst_fold,encoder=hoptimus0,-0.0872918245278501,72,"most negative paired difference, at fold INT19"
pearson_K6,encoder=resnet50 arm=a1_rule_K6 (17 training donors),0.15232861688909993,72,"per-gene Pearson pooled over the fold, mean over 50 genes, then over folds and draws"
pearson_K10,encoder=resnet50 arm=K10 (13 training donors),0.1443747322954741,72,
pearson_delta_K10_minus_K6,encoder=resnet50,-0.007953884593625858,72,paired by fold and draw
pearson_delta_worst_fold,encoder=resnet50,-0.08958538078905837,72,"most negative paired difference, at fold INT10"
pearson_K6,encoder=uni_v2 arm=a1_rule_K6 (17 training donors),0.1932239502520076,72,"per-gene Pearson pooled over the fold, mean over 50 genes, then over folds and draws"
pearson_K10,encoder=uni_v2 arm=K10 (13 training donors),0.1888127960718323,72,
pearson_delta_K10_minus_K6,encoder=uni_v2,-0.004411154180175303,72,paired by fold and draw
pearson_delta_worst_fold,encoder=uni_v2,-0.061570429184946374,72,"most negative paired difference, at fold INT10"
