encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_C,n_E,sigma_floor,sigma_clip_lo_pct,sigma_clip_hi_pct,sigma_clip_lo,sigma_clip_hi,sigma_p1_raw_cal,sigma_p99_raw_cal,sigma_min_raw_cal,sigma_min_raw_test,sigma_median_raw_cal,frac_cal_raw_below_floor,frac_test_raw_below_floor,p1_below_floor,frac_test_clipped_low,frac_test_clipped_high,frac_cal_clipped_low,frac_cal_clipped_high,lower_clip_binds,upper_clip_binds,_source
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,-1,1,donor,3417,3535,0.001,1.0,99.0,0.027330001876424,0.9447888243021644,0.027330001876424,0.9447888243021644,-0.462172614490783,-0.2982837108849992,0.4147020999231661,0.0060403863037752,0.0035473833097595,False,0.0055162659123055,0.0085770862800565,0.0100029265437518,0.0100029265437518,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,-1,2,donor,3417,3535,0.001,1.0,99.0,0.001,0.9309021700100552,-0.0091754543950548,0.9309021700100552,-0.4249058162019512,-0.1654748361817692,0.3939672731356208,0.0117178811823236,0.0018217821782178,True,0.0018217821782178,0.013018387553041,0.0117178811823236,0.0100029265437518,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,-1,0,donor,3535,3417,0.001,1.0,99.0,0.0667956245450597,0.9690266335451176,0.0667956245450597,0.9690266335451176,-0.3109800165286796,-0.3510048533395369,0.4406625186456719,0.0029759547383309,0.0117061750073163,False,0.0282879719051799,0.0108750365817968,0.010002828854314,0.010002828854314,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,-1,1,donor,3620,3417,0.001,1.0,99.0,0.0602219951282197,0.8402550134419189,0.0602219951282197,0.8402550134419189,-0.4747347249303842,-0.3924123864001628,0.410733865025052,0.0034751381215469,0.0123909862452443,False,0.0271817383669885,0.0170617500731635,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,-1,2,donor,3535,3417,0.001,1.0,99.0,0.0813404658298533,0.9665599122331324,0.0813404658298533,0.9665599122331324,-0.2848647223325709,-0.4659551646730469,0.4655236219593306,0.0024214992927864,0.0123266022827041,False,0.0380333625987708,0.0116066725197541,0.010002828854314,0.010002828854314,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,-1,0,donor,3620,5079,0.001,1.0,99.0,0.1454183877614407,1.095670673281958,0.1454183877614407,1.095670673281958,-0.2029982231812889,-0.214345070997192,0.5247189497629572,0.000524861878453,0.0021500295333727,False,0.0237172671785784,0.0086473715298287,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,-1,1,donor,3417,5079,0.001,1.0,99.0,0.0278034119686778,0.9504348934807124,0.0278034119686778,0.9504348934807124,-0.3431291670520914,-0.2870092513864596,0.4146567924123041,0.0064325431665203,0.003402244536326,False,0.0055050206733608,0.0195156526875369,0.0100029265437518,0.0100029265437518,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,-1,2,donor,3417,5079,0.001,1.0,99.0,0.017060086037075,0.968607144031319,0.017060086037075,0.968607144031319,-0.2757649358163218,-0.2433510767044454,0.4105221273322096,0.007310506292069,0.0028273282142153,False,0.0041228588304784,0.01126993502658,0.0100029265437518,0.0100029265437518,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,0,0,0,spot,389,2255,0.001,1.0,99.0,0.001,0.6981235414079549,-0.0278373697456228,0.6981235414079549,-0.5130039075214367,-0.6654790183372159,0.3091388675132851,0.0168123393316195,0.0188292682926829,True,0.0188292682926829,0.0109356984478935,0.0168123393316195,0.010025706940874,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,random,0,1,0,spot,389,2255,0.001,1.0,99.0,0.001,0.7135069445848111,-0.0282578962930898,0.7135069445848111,-0.2818266229087274,-0.4626816970207306,0.3135617970868061,0.0168123393316195,0.0188558758314855,True,0.0188558758314855,0.0102971175166297,0.0168123393316195,0.010025706940874,True,True,a4_sigma_clip__hoptimus0__main9.csv
