task,label_set,encoder,design,score,alpha,subset,gene_subset,is_conformal,n_folds,n_cells,coverage,coverage_sd,width_mean,width_median,width_median_of_cells,interval_score,miss_above,miss_below,n_infinite,n_spot_gene,n_genes,n_T,n_C,K_median,frac_infinite,_source
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.3,full,every_kth_16,True,4,12,0.7490741903163748,0.1176124539922948,1.017343677306479,0.977615505698338,1.072868374021186,2.0732520686343645,0.2124586604672795,0.0384671492163457,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,nb_conformal,0.3,nb_matched,every_kth_16,True,4,12,0.7490741903163748,0.1176124539922948,1.017343677306479,0.977615505698338,1.072868374021186,2.0732520686343645,0.2124586604672795,0.0384671492163457,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.02,cqr_matched,all,True,4,4,0.8796253302263038,0.0288134829339734,4.178126966487563,3.4141109843792674,4.359361491606121,11.303525227354442,0.1155166764551162,0.0048579933185799,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.02,full,all,True,4,12,0.9278657145204044,0.0465496382539525,35.081919767001324,14.402433246886716,36.475176338030614,38.438221607263266,0.0640564713753178,0.0080778141042776,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.02,nb_matched,all,True,4,12,0.92446268915322,0.0446922726817432,27.04660595694033,16.394708436025507,28.302469747217213,30.3618050403338,0.0689521814494209,0.0065851293973592,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.05,cqr_matched,all,True,4,4,0.8303739940065559,0.0459492281361284,3.196757720632912,2.697066289282491,3.3432347148639674,7.915937051356686,0.1571971984900513,0.0124288075033927,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.05,full,all,True,4,12,0.873076345836846,0.0673239194664624,11.382033093335458,3.9555001172787976,11.953104220330184,14.06200866793518,0.108030471582653,0.0188931825805008,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.05,nb_matched,all,True,4,12,0.8744643469446864,0.0705574196866572,8.63201743850667,3.727575769547315,9.075471305410554,11.139719681937466,0.109326911162645,0.0162087418926684,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.075,cqr_matched,all,True,4,4,0.809124872450291,0.0551278314737727,2.9164439813963496,2.446908142692122,3.05297763320127,6.564002388552773,0.1699992240993769,0.020875903450332,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.075,full,all,True,4,12,0.8424910945457132,0.0748267493821822,6.8767991267951665,2.694244452362204,7.21955707998285,9.175686674768263,0.1288510577094428,0.028657847744844,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.075,nb_matched,all,True,4,12,0.847299820651294,0.0789045292849085,5.169637850413828,2.555076613926648,5.429810872025317,7.29796919757272,0.1277307224036405,0.0249694569450655,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.1,cqr_matched,all,True,4,4,0.7906232101809298,0.0610265458662592,2.7268752578924165,2.2678037583173873,2.8566423841802213,5.725370236300216,0.1792774547268144,0.0300993350922556,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
