task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
IDC,audited,resnet50,random,scaled,0,spot,1,0.8930077748354963,0.0006219640724397462,0.019123192661203738
IDC,audited,resnet50,random,scaled,1,spot,1,0.8925660965549103,0.003463747670139259,0.0398974883695874
IDC,audited,resnet50,random,scaled,2,spot,1,0.8926809157886769,0.0012504061292896173,0.007787753068442588
IDC,audited,resnet50,random,scaled,3,spot,1,0.8911816512414534,0.002957625724935286,0.012338909812907693
IDC,shipped,resnet50,donor,abs,IDC_shipped_patient_1,donor,3,0.8667796991153285,0.04808631727382955,0.23964304902742822
IDC,shipped,resnet50,donor,abs,IDC_shipped_patient_2,donor,3,0.8987792096219932,0.03312506618338865,0.7216267497322154
IDC,shipped,resnet50,donor,abs,NCBI783,donor,3,0.842216306156406,0.03127611173999461,0.7004300767984223
IDC,shipped,resnet50,donor,abs,NCBI785,donor,3,0.7598453865336658,0.06152028541669612,0.490127185219262
IDC,shipped,resnet50,donor,scaled,IDC_shipped_patient_1,donor,3,0.8827908096912479,0.05345648535249748,98.46131892372634
IDC,shipped,resnet50,donor,scaled,IDC_shipped_patient_2,donor,3,0.9505592783505156,0.020576545311910662,119.4829120722319
IDC,shipped,resnet50,donor,scaled,NCBI783,donor,3,0.7657371048252912,0.05633723824778381,14.333680348498014
IDC,shipped,resnet50,donor,scaled,NCBI785,donor,3,0.7731122194513715,0.03572436002320814,86.65642728253813
IDC,shipped,resnet50,patient,abs,0,patient,3,0.8555448517251899,0.03565512869040749,0.007163949538484735
IDC,shipped,resnet50,patient,abs,1,patient,3,0.8789441580756013,0.03202667484404022,0.7550441153059818
IDC,shipped,resnet50,patient,abs,2,patient,3,0.7815178719866999,0.07796382066022872,0.40757536301642494
IDC,shipped,resnet50,patient,abs,3,patient,3,0.8275851358846368,0.04878081590602736,0.6772228744936525
IDC,shipped,resnet50,patient,scaled,0,patient,3,0.8853134884318353,0.05170428089596297,97.00283777644135
IDC,shipped,resnet50,patient,scaled,1,patient,3,0.9449003436426117,0.024308465455645342,28.52674352386743
IDC,shipped,resnet50,patient,scaled,2,patient,3,0.7546034912718205,0.1192958342641755,138.9770672101974
IDC,shipped,resnet50,patient,scaled,3,patient,3,0.7624048807542984,0.0534420039736504,6.048808382895432
IDC,shipped,resnet50,random,abs,0,spot,1,0.8748985889956062,0.002438319453084951,0.013018278053957659
IDC,shipped,resnet50,random,abs,1,spot,1,0.871852222369051,0.0017409144519016859,0.0066343789279832595
IDC,shipped,resnet50,random,abs,2,spot,1,0.8716807446523871,0.0013645262418976944,0.006487059751116104
IDC,shipped,resnet50,random,abs,3,spot,1,0.871376473960583,0.003753655859152512,0.011370119822490721
IDC,shipped,resnet50,random,scaled,0,spot,1,0.8960513624089902,0.0017035865697222377,0.019583665556685444
IDC,shipped,resnet50,random,scaled,1,spot,1,0.8962756383617136,0.002362752285162262,0.021908200080235984
IDC,shipped,resnet50,random,scaled,2,spot,1,0.8958289470821731,0.002634398614945716,0.022102562903591465
