encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match,superseded_label_set
ctranspath,PRAD,shipped,slide_out,MEND154,-1,0,slide,22,6,15722,6,59974,44252,39667,39667,0,,2736,1,MEND154,MEND140;MEND142;MEND143;MEND146;MEND153;MEND157,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND154,-1,1,slide,22,6,15329,6,59974,44645,39667,39667,0,,2736,1,MEND154,MEND141;MEND143;MEND145;MEND151;MEND158;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND154,-1,2,slide,22,6,16520,6,59974,43454,39667,39667,0,,2736,1,MEND154,MEND146;MEND150;MEND152;MEND158;MEND159;MEND161,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND156,-1,0,slide,22,6,16860,6,59156,42296,39667,39667,0,,3554,1,MEND156,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND156,-1,1,slide,22,6,16203,6,59156,42953,39667,39667,0,,3554,1,MEND156,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,False,False,False,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND156,-1,2,slide,22,6,17470,6,59156,41686,39667,39667,0,,3554,1,MEND156,MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND157,-1,0,slide,22,6,15539,6,59520,43981,39667,39667,0,,3190,1,MEND157,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,False,False,False,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND157,-1,1,slide,22,6,15574,6,59520,43946,39667,39667,0,,3190,1,MEND157,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND157,-1,2,slide,22,6,16133,6,59520,43387,39667,39667,0,,3190,1,MEND157,MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND158,-1,0,slide,22,6,14418,6,59618,45200,39667,39667,0,,3092,1,MEND158,MEND141;MEND148;MEND150;MEND159;MEND161;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND158,-1,1,slide,22,6,17384,6,59618,42234,39667,39667,0,,3092,1,MEND158,MEND144;MEND148;MEND149;MEND152;MEND156;MEND157,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND158,-1,2,slide,22,6,18818,6,59618,40800,39667,39667,0,,3092,1,MEND158,MEND142;MEND143;MEND153;MEND156;MEND159;MEND161,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND159,-1,0,slide,22,6,14691,6,58854,44163,39667,39667,0,,3856,1,MEND159,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,False,False,False,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND159,-1,1,slide,22,6,15434,6,58854,43420,39667,39667,0,,3856,1,MEND159,MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND159,-1,2,slide,22,6,14863,6,58854,43991,39667,39667,0,,3856,1,MEND159,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND160,-1,0,slide,22,6,15034,6,58631,43597,39667,39667,0,,4079,1,MEND160,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,False,False,False,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND160,-1,1,slide,22,6,16221,6,58631,42410,39667,39667,0,,4079,1,MEND160,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND160,-1,2,slide,22,6,18255,6,58631,40376,39667,39667,0,,4079,1,MEND160,MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND161,-1,0,slide,22,6,18376,6,59935,41559,39667,39667,0,,2775,1,MEND161,MEND139;MEND144;MEND145;MEND146;MEND158;MEND160,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND161,-1,1,slide,22,6,17190,6,59935,42745,39667,39667,0,,2775,1,MEND161,MEND141;MEND146;MEND156;MEND157;MEND160;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND161,-1,2,slide,22,6,16408,6,59935,43527,39667,39667,0,,2775,1,MEND161,MEND144;MEND145;MEND149;MEND151;MEND159;MEND162,True,True,True,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND162,-1,0,slide,22,6,14971,6,60101,45130,39667,39667,0,,2609,1,MEND162,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND162,-1,1,slide,22,6,14764,6,60101,45337,39667,39667,0,,2609,1,MEND162,MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,True,False,False,,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND162,-1,2,slide,22,6,17978,6,60101,42123,39667,39667,0,,2609,1,MEND162,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159,True,False,False,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN36,-1,0,slide,3,1,2203,1,6716,4513,3819,3819,0,,1691,1,ZEN36,ZEN49,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN36,-1,1,slide,3,1,2128,1,6716,4588,3819,3819,0,,1691,1,ZEN36,ZEN40,True,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN36,-1,2,slide,3,1,2203,1,6716,4513,3819,3819,0,,1691,1,ZEN36,ZEN49,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN40,-1,0,slide,3,1,2203,1,6279,4076,3819,3819,0,,2128,1,ZEN40,ZEN49,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN40,-1,1,slide,3,1,2385,1,6279,3894,3819,3819,0,,2128,1,ZEN40,ZEN48,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN40,-1,2,slide,3,1,2385,1,6279,3894,3819,3819,0,,2128,1,ZEN40,ZEN48,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN48,-1,0,slide,3,1,1691,1,6022,4331,3819,3819,0,,2385,1,ZEN48,ZEN36,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN48,-1,1,slide,3,1,2203,1,6022,3819,3819,3819,0,,2385,1,ZEN48,ZEN49,True,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN48,-1,2,slide,3,1,1691,1,6022,4331,3819,3819,0,,2385,1,ZEN48,ZEN36,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN49,-1,0,slide,3,1,2128,1,6204,4076,3819,3819,0,,2203,1,ZEN49,ZEN40,False,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN49,-1,1,slide,3,1,2385,1,6204,3819,3819,3819,0,,2203,1,ZEN49,ZEN48,True,True,True,,ok,task,False
ctranspath,READ,shipped,slide_out,ZEN49,-1,2,slide,3,1,1691,1,6204,4513,3819,3819,0,,2203,1,ZEN49,ZEN36,False,True,True,,ok,task,False
ctranspath,IDC,audited,slide_out,NCBI783,-1,0,slide,3,1,7760,1,32531,24771,7015,7015,0,,3005,1,NCBI783,TENX95,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,NCBI783,-1,1,slide,3,1,4010,1,32531,28521,7015,7015,0,,3005,1,NCBI783,NCBI785,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,NCBI783,-1,2,slide,3,1,4010,1,32531,28521,7015,7015,0,,3005,1,NCBI783,NCBI785,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,NCBI785,-1,0,slide,3,1,3005,1,31526,28521,7015,7015,0,,4010,1,NCBI785,NCBI783,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,NCBI785,-1,1,slide,3,1,20761,1,31526,10765,7015,7015,0,,4010,1,NCBI785,TENX99,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,NCBI785,-1,2,slide,3,1,20761,1,31526,10765,7015,7015,0,,4010,1,NCBI785,TENX99,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,TENX95,-1,0,slide,3,1,4010,1,27776,23766,7015,7015,0,,7760,1,TENX95,NCBI785,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,TENX95,-1,1,slide,3,1,4010,1,27776,23766,7015,7015,0,,7760,1,TENX95,NCBI785,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,TENX95,-1,2,slide,3,1,20761,1,27776,7015,7015,7015,0,,7760,1,TENX95,TENX99,True,True,True,,ok,task,True
ctranspath,IDC,audited,slide_out,TENX99,-1,0,slide,3,1,4010,1,14775,10765,7015,7015,0,,20761,1,TENX99,NCBI785,False,False,False,,ok,task,True
ctranspath,IDC,audited,slide_out,TENX99,-1,1,slide,3,1,7760,1,14775,7015,7015,7015,0,,20761,1,TENX99,TENX95,True,True,True,,ok,task,True
ctranspath,IDC,audited,slide_out,TENX99,-1,2,slide,3,1,3005,1,14775,11770,7015,7015,0,,20761,1,TENX99,NCBI783,False,False,False,,ok,task,True
