encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
gigapath,CCRCC,shipped,donor,INT13,-1,1,0.001,4.496114072837048e-05,0.0,0.41997573209902517,0.3742718646314382,-0.08138682664473335,2.540492675207663,4.999897231831655,False
gigapath,CCRCC,shipped,donor,INT13,-1,2,0.001,3.408122692416927e-05,0.0,0.3798572800819384,0.3761290197740977,-0.048118265554489115,2.6977844560167905,5.513920863080085,False
gigapath,CCRCC,shipped,donor,INT14,-1,0,0.001,2.6362038664323373e-05,3.94563787812363e-05,0.4051233260525795,0.38873570639584254,-0.09885589697165303,2.788258067181092,5.215009745868791,False
gigapath,CCRCC,shipped,donor,INT14,-1,1,0.001,1.3246286309016935e-05,1.3152126260412099e-05,0.4531149806470035,0.3879227204655811,-0.01878192172804649,2.479139550554847,4.242786341332831,False
gigapath,CCRCC,shipped,donor,INT14,-1,2,0.001,2.5163563160543534e-05,4.384042086804034e-06,0.3923075766174967,0.3686776322886271,-0.05051527769032954,2.55647036089983,5.069555222864582,False
gigapath,CCRCC,shipped,donor,INT15,-1,0,0.001,2.5883984284723828e-05,0.0,0.42246954772340695,0.4280057576745606,-0.10591383648646457,2.2737297218162458,4.397810137692192,False
gigapath,CCRCC,shipped,donor,INT15,-1,1,0.001,0.00024833839971147406,2.0242914979757085e-05,0.3792311259474578,0.41862127585179715,-0.14885060553770835,2.9816296472499912,6.403353827514295,False
gigapath,CCRCC,shipped,donor,INT15,-1,2,0.001,5.364327223960661e-06,0.0,0.40709939669242867,0.4086782639806827,-0.051377678080611056,2.4491128786644003,4.993975120358179,False
gigapath,CCRCC,shipped,donor,INT16,-1,0,0.001,5.920663114268798e-06,6.238303181534622e-06,0.4170362380847463,0.3637735641540057,-0.02320340664146109,2.379004839000148,4.623528469946762,False
gigapath,CCRCC,shipped,donor,INT16,-1,1,0.001,4.485935984481086e-05,3.1191515907673116e-05,0.4021659018520758,0.35636868197665106,-0.05889655849755171,2.392722077055707,4.620771811980373,False
gigapath,CCRCC,shipped,donor,INT16,-1,2,0.001,7.052458699642547e-05,0.0,0.3941869524889895,0.40903942796559195,-0.12252440822460747,2.3266205183814983,4.729387481460335,False
gigapath,CCRCC,shipped,donor,INT17,-1,0,0.001,4.733935302884194e-05,5.5788005578800554e-06,0.4093533559625352,0.34364024173466445,-0.0715520617352488,2.1882660591788765,3.7090791862062717,False
gigapath,CCRCC,shipped,donor,INT17,-1,1,0.001,1.1881615899762367e-05,5.02092050209205e-05,0.41460443037020295,0.3269441766497688,-0.033883375333977006,2.428869340592426,4.590549483285524,False
gigapath,CCRCC,shipped,donor,INT17,-1,2,0.001,9.198785760279643e-07,3.905160390516039e-05,0.4142454022161755,0.32698903057143114,-0.00027775672272406515,2.5622907416890244,5.098984285521063,False
gigapath,CCRCC,shipped,donor,INT18,-1,0,0.001,3.576088532353936e-05,1.2207527975584944e-05,0.4110057287251365,0.4402931656276861,-0.06402171533043949,2.1762112147678825,4.109040561502419,False
gigapath,CCRCC,shipped,donor,INT18,-1,1,0.001,0.00011334610472541508,0.00036622583926754833,0.40024684477106565,0.40912269591031253,-0.057935347829520145,3.420652506823594,6.983624209617131,False
gigapath,CCRCC,shipped,donor,INT18,-1,2,0.001,9.792886087348041e-05,4.069175991861648e-05,0.3832634396182865,0.3819214690382749,-0.0989551493918927,3.0012442661009,6.147730824502207,False
gigapath,CCRCC,shipped,donor,INT19,-1,0,0.001,1.1127802815334113e-06,4.042037186742118e-06,0.41709927225546517,0.3612314794888687,-0.012825002199413127,2.4265734873207787,4.482508478402885,False
gigapath,CCRCC,shipped,donor,INT19,-1,1,0.001,1.1868027533823879e-06,8.084074373484236e-06,0.43367292053595274,0.36244944949142693,0.000254622383658476,2.475450964515848,4.53682514149918,False
gigapath,CCRCC,shipped,donor,INT19,-1,2,0.001,3.6260349308031668e-06,4.44624090541633e-05,0.4262635155988349,0.3643182958271469,-0.022537154707540752,2.3074097535399227,4.321318424559088,False
