task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
IDC,shipped,virchow2,random,scaled,1,spot,1,0.894784890158161,0.001365526837850075,0.006583301817993948,False
IDC,shipped,virchow2,random,scaled,2,spot,1,0.8963809918892542,0.000758018974131897,0.005548191195628865,False
IDC,shipped,virchow2,random,scaled,3,spot,1,0.8965061482675687,0.0019293917075737367,0.0072106317498779725,False
LUNG,shipped,virchow2,donor,abs,LUNG_hest_patient_1,block,3,0.5901675863478438,0.009834465670074373,0.01719561909149646,False
LUNG,shipped,virchow2,donor,abs,LUNG_hest_patient_2,block,3,0.5803292181069959,0.019332721142115296,0.05105987881424071,False
LUNG,shipped,virchow2,donor,scaled,LUNG_hest_patient_1,block,3,0.586474555487431,0.020849820241236047,0.24084635594518822,False
LUNG,shipped,virchow2,donor,scaled,LUNG_hest_patient_2,block,3,0.6038923182441701,0.027710569382981345,0.18448383169002303,False
LUNG,shipped,virchow2,patient,abs,0,block,3,0.6107582260371961,0.014039157116568097,0.05934542623527879,False
LUNG,shipped,virchow2,patient,abs,1,block,3,0.5846913580246914,0.007863427907117826,0.06184773313088853,False
LUNG,shipped,virchow2,patient,scaled,0,block,3,0.5829266298794195,0.05415483740138252,0.4695449262312812,False
LUNG,shipped,virchow2,patient,scaled,1,block,3,0.6152572016460905,0.054279360570061316,0.48755855757372674,False
LUNG,shipped,virchow2,random,abs,0,spot,1,0.8998591228548344,0.003458667117624815,0.01969310990813571,False
LUNG,shipped,virchow2,random,abs,1,spot,1,0.900717937006483,0.002557649493850945,0.00551077958093618,False
LUNG,shipped,virchow2,random,scaled,0,spot,1,0.9001679331304789,0.004418318441542206,0.06066249305384304,False
LUNG,shipped,virchow2,random,scaled,1,spot,1,0.902659900046282,0.0031485956524190304,0.05317269325707372,False
LYMPH_IDC,shipped,virchow2,donor,abs,Patient_3,donor,3,0.9257438568376068,0.011940426981192622,0.2720401773154795,False
LYMPH_IDC,shipped,virchow2,donor,abs,Patient_6,donor,3,0.830380608974359,0.13816508937061925,0.6448225877813722,False
LYMPH_IDC,shipped,virchow2,donor,abs,Patient_7,donor,3,0.6206909917134457,0.02552475369644591,0.13207441779904977,False
LYMPH_IDC,shipped,virchow2,donor,abs,Patient_8,donor,3,0.8918536324786325,0.0013647302036132612,0.16558197686568818,False
LYMPH_IDC,shipped,virchow2,donor,scaled,Patient_3,donor,3,0.8587299679487179,0.012804667692318942,0.19091798099070792,False
LYMPH_IDC,shipped,virchow2,donor,scaled,Patient_6,donor,3,0.8415037393162393,0.09200625039041613,0.4215888361189155,False
LYMPH_IDC,shipped,virchow2,donor,scaled,Patient_7,donor,3,0.6785872761293771,0.07778790129731736,1.9340311181081267,False
LYMPH_IDC,shipped,virchow2,donor,scaled,Patient_8,donor,3,0.8682532051282051,0.013601039995332466,3.6085573704868894,False
LYMPH_IDC,shipped,virchow2,patient,abs,0,patient,3,0.9188274572649573,7.864546936078047e-05,0.052827579841237,False
LYMPH_IDC,shipped,virchow2,patient,abs,1,patient,3,0.7764837072649572,0.122047196029219,0.558496390472518,False
LYMPH_IDC,shipped,virchow2,patient,abs,2,patient,3,0.6373349371825715,0.020196978333609956,0.150164958031597,False
LYMPH_IDC,shipped,virchow2,patient,abs,3,patient,3,0.8910657051282053,0.0,0.0,False
LYMPH_IDC,shipped,virchow2,patient,scaled,0,patient,3,0.8503538995726495,0.009724280976254718,0.18427653227177954,False
LYMPH_IDC,shipped,virchow2,patient,scaled,1,patient,3,0.80460202991453,0.08173061745183456,0.815896542268739,False
LYMPH_IDC,shipped,virchow2,patient,scaled,2,patient,3,0.6848168938786422,0.07286496109941662,1.599253900544031,False
LYMPH_IDC,shipped,virchow2,patient,scaled,3,patient,3,0.8604006410256412,0.0,0.0,False
LYMPH_IDC,shipped,virchow2,random,abs,0,spot,1,0.9008420191620647,0.0018114072377877633,0.005442599420717305,False
