task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
HCC,shipped,gigapath,donor,scaled,2,0.7551232809110444,0.04808347113856643,3.2609022185646612,0.5959053678911111,5.82593043929235,0.17013481518544285,0.07474190390351283,block,1203
HCC,shipped,gigapath,patient,abs,2,0.7738583474889127,0.034152624273547386,1.5850575468734052,0.14472795968703228,3.7280865001099053,0.15039814589518663,0.07574350661590078,block,1203
HCC,shipped,gigapath,patient,scaled,2,0.7677056302079109,0.025974579673350352,2.750768617880321,0.32809985299331795,5.100378995007246,0.15710215892098506,0.07519221087110407,block,1203
HCC,shipped,gigapath,random,abs,2,0.9015086034954136,0.0008026518762856,1.584639506711906,0.0005912628715014184,2.138630926379129,0.0722400737846901,0.026251322719896164,spot,1203
HCC,shipped,gigapath,random,scaled,2,0.8986809326463596,0.0013403634095866185,2.048766712100802,0.010418851334967479,2.679441629614828,0.0846285036420837,0.016690563711556736,spot,1203
IDC,audited,gigapath,donor,abs,3,0.8447958957537809,0.08441592482110459,4.618728683582913,0.5959715130585019,7.146063174669412,0.11690429597903436,0.038299808267184814,donor,3005
IDC,audited,gigapath,donor,scaled,3,0.8284600480936314,0.07739343082345616,20.901535800598996,17.772270621202654,24.168093511561736,0.12019523077334891,0.05134472113301971,donor,3005
IDC,audited,gigapath,patient,abs,4,0.8218420108241152,0.07229688685170539,4.147927676908665,0.22944843796440814,7.121987707127919,0.12258576351864514,0.055572225657239634,patient,3005
IDC,audited,gigapath,patient,scaled,4,0.8189779017286416,0.0824102220356456,5.671577151445235,0.726520267811358,8.957182071567011,0.12747287319927442,0.053549225072083984,patient,3005
IDC,audited,gigapath,random,abs,4,0.878684311152957,0.00140586177997986,2.246697376392757,0.005243455075737192,3.2330552056888946,0.0648368678608559,0.056478820986187186,spot,3005
IDC,audited,gigapath,random,scaled,4,0.8953261296721029,0.0008690284348664355,2.4493212370605875,0.005312978566150253,3.184881712207657,0.06100384502902902,0.04367002529886812,spot,3005
IDC,shipped,gigapath,donor,abs,4,0.8283828184447107,0.0861952608111512,4.178102165649191,0.32144861131777225,7.0918990439700496,0.12331065616018815,0.04830652539510106,donor,3005
IDC,shipped,gigapath,donor,scaled,4,0.8267116942956866,0.0712103421902969,5.499441087510324,1.4445598657854295,8.59175827331001,0.12461528389484082,0.0486730218094726,donor,3005
IDC,shipped,gigapath,patient,abs,4,0.819803723355535,0.07044021627333422,4.065330954700995,0.21580651904686027,7.02647621774731,0.1237012261093673,0.05649505053509773,patient,3005
IDC,shipped,gigapath,patient,scaled,4,0.8142477832193906,0.07472866320034588,5.020711614911886,1.0483067111717337,8.253123105754657,0.128627389798169,0.05712482698244038,patient,3005
IDC,shipped,gigapath,random,abs,4,0.8788715653840703,0.0008153240887174559,2.192385390213972,0.004963187785762154,3.1579924045042773,0.0645230967743073,0.05660533784162243,spot,3005
IDC,shipped,gigapath,random,scaled,4,0.8974841028681975,0.0004897533315937592,2.2911408960195603,0.005017601009030437,2.969702427495177,0.060693238938620206,0.041822658193182254,spot,3005
LUNG,shipped,gigapath,donor,abs,2,0.6128723331558731,0.0008798952184179069,2.080027677530256,0.031928816639449256,8.293334809866456,0.2137501913374191,0.17337747550670773,block,1027
LUNG,shipped,gigapath,donor,scaled,2,0.610028787871142,0.014746452245530898,2.373266996542972,0.07697486191321526,9.03139670630435,0.21618576950022664,0.17378544262863133,block,1027
LUNG,shipped,gigapath,patient,abs,2,0.6196353687008989,0.012981440275675427,2.1162779536404392,0.0011507470312391852,8.337483092975104,0.20470300858116786,0.17566162271793334,block,1027
LUNG,shipped,gigapath,patient,scaled,2,0.6294182690649865,0.011987025181867185,2.4807611879193434,0.04859984139010696,8.85837746820119,0.2001844156302907,0.1703973153047227,block,1027
LUNG,shipped,gigapath,random,abs,2,0.8994465685540218,0.00042956449844726535,2.092340703850072,0.00983878212218201,2.7404064466048705,0.04933825797691103,0.05121517346906705,spot,1027
LUNG,shipped,gigapath,random,scaled,2,0.9016952744333233,0.001635662499029732,2.5451494751076136,0.009998748925589645,3.1889290625980555,0.049431046691407264,0.048873678875269395,spot,1027
LYMPH_IDC,shipped,gigapath,donor,abs,4,0.8206344709139543,0.1356994428526269,2.3709091368211377,0.4063316356466345,4.695305280462334,0.14507110548221713,0.03429442360382867,donor,9980
LYMPH_IDC,shipped,gigapath,donor,scaled,4,0.816197642236667,0.09841949452054316,2.9044662878305365,0.36191287971100844,5.021999683039727,0.1496329061007101,0.03416945166262278,donor,9980
LYMPH_IDC,shipped,gigapath,patient,abs,4,0.8040360280806415,0.1223802409147173,2.207532545826961,0.2783612820989717,4.593690086961784,0.14745167542058202,0.048512296498776544,patient,9980
