encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match,superseded_label_set
uni_v1,CCRCC,shipped,patient,5,-1,2,patient,20,5,10145,5,57566,47421,35996,35996,0,,16654,4,INT16;INT17;INT18;INT19,INT10;INT12;INT22;INT5;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT1,-1,0,donor,23,6,22105,6,73136,51031,35996,35996,0,,1084,1,INT1,INT14;INT16;INT19;INT2;INT20;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT1,-1,1,donor,23,6,22542,6,73136,50594,35996,35996,0,,1084,1,INT1,INT13;INT14;INT15;INT18;INT2;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT1,-1,2,donor,23,6,17537,6,73136,55599,35996,35996,0,,1084,1,INT1,INT11;INT17;INT2;INT22;INT23;INT4,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT10,-1,0,donor,23,6,20751,6,72237,51486,35996,35996,0,,1983,1,INT10,INT13;INT20;INT22;INT24;INT3;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT10,-1,1,donor,23,6,19589,6,72237,52648,35996,35996,0,,1983,1,INT10,INT11;INT14;INT23;INT24;INT7;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT10,-1,2,donor,23,6,15682,6,72237,56555,35996,35996,0,,1983,1,INT10,INT1;INT12;INT14;INT15;INT8;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT11,-1,0,donor,23,6,18765,6,72781,54016,35996,35996,0,,1439,1,INT11,INT12;INT15;INT20;INT22;INT3;INT6,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT11,-1,1,donor,23,6,19774,6,72781,53007,35996,35996,0,,1439,1,INT11,INT14;INT19;INT23;INT5;INT7;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT11,-1,2,donor,23,6,16893,6,72781,55888,35996,35996,0,,1439,1,INT11,INT12;INT19;INT20;INT3;INT6;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT12,-1,0,donor,23,6,19276,6,72769,53493,35996,35996,0,,1451,1,INT12,INT13;INT23;INT24;INT3;INT8;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT12,-1,1,donor,23,6,19118,6,72769,53651,35996,35996,0,,1451,1,INT12,INT1;INT19;INT21;INT23;INT3;INT4,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT12,-1,2,donor,23,6,13495,6,72769,59274,35996,35996,0,,1451,1,INT12,INT17;INT2;INT3;INT6;INT8;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT13,-1,0,donor,23,6,14763,6,69861,55098,35996,35996,0,,4359,1,INT13,INT1;INT17;INT2;INT22;INT3;INT6,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT13,-1,1,donor,23,6,15569,6,69861,54292,35996,35996,0,,4359,1,INT13,INT1;INT10;INT16;INT18;INT3;INT7,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT13,-1,2,donor,23,6,17605,6,69861,52256,35996,35996,0,,4359,1,INT13,INT16;INT17;INT23;INT3;INT6;INT7,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT14,-1,0,donor,23,6,20484,6,69658,49174,35996,35996,0,,4562,1,INT14,INT12;INT17;INT18;INT22;INT23;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT14,-1,1,donor,23,6,10569,6,69658,59089,35996,35996,0,,4562,1,INT14,INT11;INT12;INT3;INT4;INT7;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT14,-1,2,donor,23,6,19870,6,69658,49788,35996,35996,0,,4562,1,INT14,INT11;INT13;INT2;INT21;INT24;INT3,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT15,-1,0,donor,23,6,21635,6,69280,47645,35996,35996,0,,4940,1,INT15,INT10;INT16;INT18;INT20;INT21;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT15,-1,1,donor,23,6,19409,6,69280,49871,35996,35996,0,,4940,1,INT15,INT16;INT17;INT18;INT24;INT3;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT15,-1,2,donor,23,6,22370,6,69280,46910,35996,35996,0,,4940,1,INT15,INT14;INT19;INT2;INT22;INT23;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT16,-1,0,donor,23,6,16890,6,71014,54124,35996,35996,0,,3206,1,INT16,INT12;INT2;INT21;INT24;INT6;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT16,-1,1,donor,23,6,16496,6,71014,54518,35996,35996,0,,3206,1,INT16,INT1;INT19;INT2;INT24;INT6;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT16,-1,2,donor,23,6,20702,6,71014,50312,35996,35996,0,,3206,1,INT16,INT1;INT14;INT17;INT18;INT20;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT17,-1,0,donor,23,6,22814,6,70635,47821,35996,35996,0,,3585,1,INT17,INT1;INT15;INT19;INT20;INT21;INT3,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT17,-1,1,donor,23,6,18516,6,70635,52119,35996,35996,0,,3585,1,INT17,INT1;INT13;INT18;INT20;INT4;INT8,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT17,-1,2,donor,23,6,21742,6,70635,48893,35996,35996,0,,3585,1,INT17,INT1;INT13;INT18;INT2;INT21;INT22,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT18,-1,0,donor,23,6,20693,6,69305,48612,35996,35996,0,,4915,1,INT18,INT17;INT19;INT21;INT22;INT3;INT4,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT18,-1,1,donor,23,6,12528,6,69305,56777,35996,35996,0,,4915,1,INT18,INT1;INT24;INT5;INT6;INT7;INT9,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT18,-1,2,donor,23,6,17768,6,69305,51537,35996,35996,0,,4915,1,INT18,INT1;INT12;INT14;INT21;INT24;INT5,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT19,-1,0,donor,23,6,17973,6,69272,51299,35996,35996,0,,4948,1,INT19,INT13;INT2;INT21;INT3;INT6;INT7,False,True,True,,ok,task,False
uni_v1,CCRCC,shipped,donor,INT19,-1,1,donor,23,6,16852,6,69272,52420,35996,35996,0,,4948,1,INT19,INT1;INT12;INT2;INT21;INT23;INT3,False,True,True,,ok,task,False
