task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
IDC,shipped,uni_v2,random,scaled,2,spot,1,0.8970932118155781,0.0014885082109715837,0.008360082828969918,False
IDC,shipped,uni_v2,random,scaled,3,spot,1,0.8976698805779086,0.0025529410736850246,0.008879485040879658,False
LUNG,shipped,uni_v2,donor,abs,LUNG_hest_patient_1,block,3,0.606707541385653,0.005033617090421508,0.02841594526333377,False
LUNG,shipped,uni_v2,donor,abs,LUNG_hest_patient_2,block,3,0.6286968449931413,0.015692340437221605,0.044618928301864015,False
LUNG,shipped,uni_v2,donor,scaled,LUNG_hest_patient_1,block,3,0.635845084815042,0.008019597208987234,0.07021004974385521,False
LUNG,shipped,uni_v2,donor,scaled,LUNG_hest_patient_2,block,3,0.6752263374485596,0.02198887497199044,0.0988134979318944,False
LUNG,shipped,uni_v2,patient,abs,0,block,3,0.6201451052524014,0.015771252368930084,0.07403404466668498,False
LUNG,shipped,uni_v2,patient,abs,1,block,3,0.6255761316872427,0.018029811175083392,0.04860662124340104,False
LUNG,shipped,uni_v2,patient,scaled,0,block,3,0.6353096259963213,0.01904805443295719,0.15711905930140882,False
LUNG,shipped,uni_v2,patient,scaled,1,block,3,0.6696296296296297,0.02452161950601323,0.17965486429483696,False
LUNG,shipped,uni_v2,random,abs,0,spot,1,0.8988926034568058,0.002990711298068858,0.02291882595838219,False
LUNG,shipped,uni_v2,random,abs,1,spot,1,0.8995953913765211,0.0022430254605965306,0.009042515306614766,False
LUNG,shipped,uni_v2,random,scaled,0,spot,1,0.9015328502451536,0.002472079475514397,0.02315322394603321,False
LUNG,shipped,uni_v2,random,scaled,1,spot,1,0.9031045713901044,0.0033320689502039013,0.03355193238137101,False
LYMPH_IDC,shipped,uni_v2,donor,abs,Patient_3,donor,3,0.9242908653846155,0.012682692079882792,0.3371077262566169,False
LYMPH_IDC,shipped,uni_v2,donor,abs,Patient_6,donor,3,0.8292334401709401,0.13528413242316298,0.6383321709737358,False
