task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
IDC,audited,virchow,donor,scaled,3,0.8204667831182979,0.06869950871325795,7.627057021092216,3.5226249966439105,10.963056561016884,0.11560543565443204,0.06392778122727007,donor,3005,True
IDC,audited,virchow,patient,abs,4,0.8145656786423888,0.08660687469492874,4.064839333594152,0.18073946721454778,7.13379343798906,0.11950912763517021,0.06592519372244104,patient,3005,True
IDC,audited,virchow,patient,scaled,4,0.8328824639456104,0.06735491514229898,20.039282167208626,17.13136285622639,22.894856563369874,0.10569640154014781,0.06142113451424184,patient,3005,True
IDC,audited,virchow,random,abs,4,0.8785743619239126,0.0008161097220124923,2.1582065642790016,0.00673380331245755,3.122962639987545,0.06315936195656799,0.05826627611951944,spot,3005,True
IDC,audited,virchow,random,scaled,4,0.8907279420467968,0.0013425356184657647,2.3414603637734412,0.012437591301765734,3.104024008095892,0.06135254720779176,0.04791951074541135,spot,3005,True
IDC,shipped,virchow,donor,abs,4,0.8233474336148723,0.1039846825582751,4.137356242482519,0.3898159308686593,7.067764958004705,0.1211644388393354,0.05548812754579235,donor,3005,False
IDC,shipped,virchow,donor,scaled,4,0.8318402570926633,0.08056212551778648,6.057538844387714,2.682086528575752,8.87974247964212,0.11158575486399851,0.0565739880433382,donor,3005,False
IDC,shipped,virchow,patient,abs,4,0.8165532740807283,0.08503216313390968,3.992009451831983,0.1957754109718222,7.063596420897462,0.11974131973006338,0.06370540618920835,patient,3005,False
IDC,shipped,virchow,patient,scaled,4,0.8259221002330764,0.07189595625495687,6.3746559151317825,3.3171915244822205,9.242516604970183,0.11313367620796318,0.06094422355896041,patient,3005,False
IDC,shipped,virchow,random,abs,4,0.8800037192827979,0.0006231112575212528,2.1051538695549152,0.003150019016315328,3.035876279077457,0.06260952588486632,0.057386754832335914,spot,3005,False
IDC,shipped,virchow,random,scaled,4,0.8945645688213365,0.0004481019793253132,2.183239829553154,0.0050368286571512155,2.8631112479695724,0.060272534005664076,0.045162897172999455,spot,3005,False
LUNG,shipped,virchow,donor,abs,2,0.5996399523885219,0.009922823235586022,2.0535554037743036,0.0010303168615992174,8.664272641679915,0.21546294614209097,0.18489710146938726,block,1027,False
LUNG,shipped,virchow,donor,scaled,2,0.5977590666602748,0.0047502064055480195,2.498515335361538,0.1373187159622117,9.748138357529463,0.2192099404625235,0.18303099287720173,block,1027,False
LUNG,shipped,virchow,patient,abs,2,0.6101684778540605,0.021577562961239093,2.0930635936348314,0.021618028539153896,8.268551298707617,0.20735010500429352,0.18248141714164604,block,1027,False
LUNG,shipped,virchow,patient,scaled,2,0.6388380530597586,0.030892630678136104,2.7672347880636545,0.3917372169401904,9.03338084852406,0.19861969501235913,0.1625422519278822,block,1027,False
