encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
hoptimus0,HCC,shipped,random,0,3,0,1203,389,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,0,4,0,1203,389,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,1,0,0,1203,451,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,1,1,0,1203,451,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,1,2,0,1203,451,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,1,3,0,1203,451,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,random,1,4,0,1203,451,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,patient,0,-1,0,1203,407,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,patient,0,-1,1,1203,400,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,patient,0,-1,2,1203,421,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,patient,1,-1,0,1203,471,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,patient,1,-1,1,1203,497,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,patient,1,-1,2,1203,457,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,donor,CHC20,-1,0,1203,513,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,donor,CHC20,-1,1,1203,452,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,donor,CHC20,-1,2,1203,483,1941,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,donor,CHC23,-1,0,1203,401,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,donor,CHC23,-1,1,1203,430,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,HCC,shipped,donor,CHC23,-1,2,1203,408,2255,0,0,0,True,True,1203,1203,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,0,0,0,7015,2955,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,0,1,0,7015,2955,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,0,2,0,7015,2955,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,0,3,0,7015,2955,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,0,4,0,7015,2955,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,1,0,0,7015,5556,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,1,1,0,7015,5556,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,1,2,0,7015,5556,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,1,3,0,7015,5556,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,1,4,0,7015,5556,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,2,0,0,7015,6306,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,2,1,0,7015,6306,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,2,2,0,7015,6306,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
