encoder,task,design,fold,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
resnet50,CCRCC,patient,0,,,55849,18371,4,0.1407928317785263,0.11839915849137468,0.40-0.50,True,False,INT13;INT14;INT15;INT24
resnet50,CCRCC,blocked_buffered,0,4.0,4.0,47018,20794,24,0.5463240146636963,0.19082319857004526,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,4.0,4.0,47018,20794,24,0.5544712543487549,0.19118199915547548,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,4.0,4.0,47018,18371,24,0.5774132013320923,0.2024435286989198,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,4.0,6.0,54737,19483,24,0.5789821147918701,0.18468969657490864,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,4.0,6.0,44942,19483,24,0.5688803195953369,0.184708298688538,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,4.0,6.0,44942,19483,24,0.5784659385681152,0.1853151604584855,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,4.0,6.0,44942,18371,24,0.5774651169776917,0.20223159175892458,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,4.0,10.0,55469,18751,24,0.5656381845474243,0.19553953830018145,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,4.0,10.0,38247,18751,24,0.553263247013092,0.19442398742059597,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,4.0,10.0,38247,18751,24,0.564167857170105,0.1950694066698391,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,4.0,10.0,38247,18371,24,0.5765513181686401,0.20173385216131767,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,patient,1,,,67651,6569,4,0.2424679547548294,0.2506827643123688,0.40-0.50,True,False,INT10;INT11;INT12;INT9
resnet50,CCRCC,random,1,0.0,,67651,6569,24,0.5820819139480591,0.20240463541620102,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,1,0.0,4.0,64798,9422,24,0.5693457126617432,0.14208599500823768,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,1,0.0,4.0,61174,9422,24,0.5641424655914307,0.13995124796468492,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,1,0.0,4.0,61174,9422,24,0.569098174571991,0.14177732098691195,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,1,0.0,4.0,61174,6569,24,0.5820651054382324,0.20235003652883887,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,1,0.0,6.0,66161,8059,24,0.5805943608283997,0.170267678459968,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,1,0.0,6.0,60798,8059,24,0.5708335638046265,0.16808746925840143,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,1,0.0,6.0,60798,8059,24,0.5793644189834595,0.16890461818062855,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,1,0.0,6.0,60798,6569,24,0.5817067623138428,0.20256618304737153,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,1,0.0,10.0,67186,7034,24,0.5623528957366943,0.19072117009572442,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,1,0.0,10.0,58999,7034,24,0.5577348470687866,0.18942685600765496,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,1,0.0,10.0,58999,7034,24,0.5619797110557556,0.19112445945486492,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,1,0.0,10.0,58999,6569,24,0.5817725658416748,0.2023903512537072,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random,1,1.0,,67651,6569,24,0.579175591468811,0.19773281091534348,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,1,1.0,4.0,64890,9330,24,0.5467888116836548,0.15681561674942712,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,1,1.0,4.0,61474,9330,24,0.5395314693450928,0.15613141035430697,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,1,1.0,4.0,61474,9330,24,0.5471458435058594,0.15641472330855322,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,1,1.0,4.0,61474,6569,24,0.5791825652122498,0.19723044126668052,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
