encoder,task,design,fold,repeat,grid,n_train,median_nn_train_dist
uni_v2,COAD,blocked_buffered,0,3,6,2778,2778.838066530686
uni_v2,COAD,blocked,0,3,10,4956,1201.0
uni_v2,COAD,blocked_buffered,0,3,10,1855,2155.9230041910123
uni_v2,COAD,blocked,0,4,4,4735,3142.638700200836
uni_v2,COAD,blocked_buffered,0,4,4,3342,4014.0
uni_v2,COAD,blocked,0,4,6,4891,1965.585154604094
uni_v2,COAD,blocked_buffered,0,4,6,2799,2852.149540259066
uni_v2,COAD,blocked,0,4,10,5011,1201.0
uni_v2,COAD,blocked_buffered,0,4,10,1905,2129.669457920642
uni_v2,COAD,blocked,1,0,4,9925,1827.0
uni_v2,COAD,blocked_buffered,1,0,4,8524,2557.0
uni_v2,COAD,blocked,1,0,6,10297,1201.0
uni_v2,COAD,blocked_buffered,1,0,6,8154,2002.0
uni_v2,COAD,blocked,1,0,10,10451,731.0
uni_v2,COAD,blocked_buffered,1,0,10,6780,1505.9037153815646
uni_v2,COAD,blocked,1,1,4,10320,1461.0
uni_v2,COAD,blocked_buffered,1,1,4,8644,2192.0
uni_v2,COAD,blocked,1,1,6,10439,1201.0
uni_v2,COAD,blocked_buffered,1,1,6,8238,2002.0
uni_v2,COAD,blocked,1,1,10,10494,731.0
uni_v2,COAD,blocked_buffered,1,1,10,6543,1461.0
uni_v2,COAD,blocked,1,2,4,10003,1824.0
uni_v2,COAD,blocked_buffered,1,2,4,8424,2555.0
uni_v2,COAD,blocked,1,2,6,10326,1096.0
uni_v2,COAD,blocked_buffered,1,2,6,7996,1862.1227134643946
uni_v2,COAD,blocked,1,2,10,10480,801.0
uni_v2,COAD,blocked_buffered,1,2,10,7016,1602.0
uni_v2,COAD,blocked,1,3,4,10038,1826.0
uni_v2,COAD,blocked_buffered,1,3,4,8469,2556.0
uni_v2,COAD,blocked,1,3,6,10191,1132.7850634608492
uni_v2,COAD,blocked_buffered,1,3,6,7963,2002.0
uni_v2,COAD,blocked,1,3,10,10512,731.0
uni_v2,COAD,blocked_buffered,1,3,10,6707,1461.0
uni_v2,COAD,blocked,1,4,4,9890,2003.0
uni_v2,COAD,blocked_buffered,1,4,4,8480,2804.0
uni_v2,COAD,blocked,1,4,6,10411,1201.0
uni_v2,COAD,blocked_buffered,1,4,6,8355,2002.200039956048
uni_v2,COAD,blocked,1,4,10,10481,731.0
uni_v2,COAD,blocked_buffered,1,4,10,6612,1461.0
uni_v2,HCC,blocked,0,0,4,1650,964.2945608059811
uni_v2,HCC,blocked_buffered,0,0,4,1109,1380.4698475001687
uni_v2,HCC,blocked,0,0,6,1867,767.0
uni_v2,HCC,blocked_buffered,0,0,6,1131,1166.9875749124324
uni_v2,HCC,blocked,0,0,10,1892,441.0
uni_v2,HCC,blocked_buffered,0,0,10,791,962.4853245634449
uni_v2,HCC,blocked,0,1,4,1618,1010.4098178462044
uni_v2,HCC,blocked_buffered,0,1,4,1084,1528.3890211592075
uni_v2,HCC,blocked,0,1,6,1852,766.0
uni_v2,HCC,blocked_buffered,0,1,6,1113,1168.096742568868
uni_v2,HCC,blocked,0,1,10,1904,441.0
uni_v2,HCC,blocked_buffered,0,1,10,688,885.2417748841274
uni_v2,HCC,blocked,0,2,4,1765,964.2945608059811
uni_v2,HCC,blocked_buffered,0,2,4,1195,1347.4160456221382
uni_v2,HCC,blocked,0,2,6,1831,794.789280249803
uni_v2,HCC,blocked_buffered,0,2,6,1204,1347.4160456221382
uni_v2,HCC,blocked,0,2,10,1907,384.00130208112574
uni_v2,HCC,blocked_buffered,0,2,10,639,960.6508210583073
uni_v2,HCC,blocked,0,3,4,1872,881.0
uni_v2,HCC,blocked_buffered,0,3,4,1278,1324.0003776434507
uni_v2,HCC,blocked,0,3,6,1887,662.0
uni_v2,HCC,blocked_buffered,0,3,6,1113,1150.0
uni_v2,HCC,blocked,0,3,10,1916,384.0
uni_v2,HCC,blocked_buffered,0,3,10,672,883.0005662512341
uni_v2,HCC,blocked,0,4,4,1782,795.2766814134562
uni_v2,HCC,blocked_buffered,0,4,4,1166,1340.9143842905794
uni_v2,HCC,blocked,0,4,6,1854,766.0
uni_v2,HCC,blocked_buffered,0,4,6,1073,1152.000434027696
uni_v2,HCC,blocked,0,4,10,1908,440.0
uni_v2,HCC,blocked_buffered,0,4,10,677,960.6508210583073
uni_v2,HCC,blocked,1,0,4,2197,881.0
uni_v2,HCC,blocked_buffered,1,0,4,1624,1322.0
uni_v2,HCC,blocked,1,0,6,2237,583.1654996654038
uni_v2,HCC,blocked_buffered,1,0,6,1291,965.402506729706
uni_v2,HCC,blocked,1,0,10,2209,384.0
uni_v2,HCC,blocked_buffered,1,0,10,915,798.204234516455
uni_v2,HCC,blocked,1,1,4,2093,881.0
uni_v2,HCC,blocked_buffered,1,1,4,1539,1323.0015117149337
uni_v2,HCC,blocked,1,1,6,2194,586.4094132941592
uni_v2,HCC,blocked_buffered,1,1,6,1437,1103.001813235137
uni_v2,HCC,blocked,1,1,10,2225,383.0
uni_v2,HCC,blocked_buffered,1,1,10,871,795.7593857442084
uni_v2,HCC,blocked,1,2,4,2201,768.0006510413907
uni_v2,HCC,blocked_buffered,1,2,4,1570,1170.8543888972702
uni_v2,HCC,blocked,1,2,6,2099,584.7537943442522
uni_v2,HCC,blocked_buffered,1,2,6,1177,966.16820481736
uni_v2,HCC,blocked,1,2,10,2229,384.0
uni_v2,HCC,blocked_buffered,1,2,10,998,881.0
uni_v2,HCC,blocked,1,3,4,2130,767.0006518902054
uni_v2,HCC,blocked_buffered,1,3,4,1494,1152.000434027696
uni_v2,HCC,blocked,1,3,6,2208,585.4271944486351
uni_v2,HCC,blocked_buffered,1,3,6,1384,1010.2202730098026
uni_v2,HCC,blocked,1,3,10,2221,384.0
uni_v2,HCC,blocked_buffered,1,3,10,916,881.0
uni_v2,HCC,blocked,1,4,4,2161,964.2945608059811
uni_v2,HCC,blocked_buffered,1,4,4,1595,1346.5006498327432
uni_v2,HCC,blocked,1,4,6,2189,662.0
uni_v2,HCC,blocked_buffered,1,4,6,1527,1150.0
uni_v2,HCC,blocked,1,4,10,2217,384.0
uni_v2,HCC,blocked_buffered,1,4,10,962,881.0
uni_v2,IDC,blocked,0,0,4,13436,4706.0
uni_v2,IDC,blocked_buffered,0,0,4,11296,5647.0
uni_v2,IDC,blocked,0,0,6,14264,2824.0
uni_v2,IDC,blocked_buffered,0,0,6,10811,3765.0
uni_v2,IDC,blocked,0,0,10,14616,1882.0
uni_v2,IDC,blocked_buffered,0,0,10,8803,2823.0
uni_v2,IDC,blocked,0,1,4,13743,5001.812871349747
uni_v2,IDC,blocked_buffered,0,1,4,11867,5896.265937014714
uni_v2,IDC,blocked,0,1,6,14351,3294.0
uni_v2,IDC,blocked_buffered,0,1,6,11069,4235.0
uni_v2,IDC,blocked,0,1,10,14615,1883.0
uni_v2,IDC,blocked_buffered,0,1,10,9262,2863.0083828029565
uni_v2,IDC,blocked,0,2,4,13604,5647.0
uni_v2,IDC,blocked_buffered,0,2,4,11571,6588.0
uni_v2,IDC,blocked,0,2,6,14385,2824.0
uni_v2,IDC,blocked_buffered,0,2,6,11166,3993.7391001416204
uni_v2,IDC,blocked,0,2,10,14577,1882.0
uni_v2,IDC,blocked_buffered,0,2,10,8670,2823.0
uni_v2,IDC,blocked,0,3,4,12973,4344.9695050713535
uni_v2,IDC,blocked_buffered,0,3,4,10595,5249.889617887218
uni_v2,IDC,blocked,0,3,6,14343,3294.0
uni_v2,IDC,blocked_buffered,0,3,6,10985,4235.0
uni_v2,IDC,blocked,0,3,10,14721,1882.0
uni_v2,IDC,blocked_buffered,0,3,10,9098,2823.0
uni_v2,IDC,blocked,0,4,4,14238,4745.0
uni_v2,IDC,blocked_buffered,0,4,4,12094,5744.290382632132
uni_v2,IDC,blocked,0,4,6,14222,3294.0
uni_v2,IDC,blocked_buffered,0,4,6,10991,4235.0
uni_v2,IDC,blocked,0,4,10,14632,1843.4144948979867
uni_v2,IDC,blocked_buffered,0,4,10,8631,2823.0
uni_v2,IDC,blocked,1,0,4,26216,3294.0
uni_v2,IDC,blocked_buffered,1,0,4,24604,4235.0
uni_v2,IDC,blocked,1,0,6,27229,1825.0
uni_v2,IDC,blocked_buffered,1,0,6,24259,2555.0
uni_v2,IDC,blocked,1,0,10,27603,1411.0
uni_v2,IDC,blocked_buffered,1,0,10,23406,2353.0
uni_v2,IDC,blocked,1,1,4,26595,2353.0
uni_v2,IDC,blocked_buffered,1,1,4,24577,3294.0
uni_v2,IDC,blocked,1,1,6,27316,1883.0
uni_v2,IDC,blocked_buffered,1,1,6,24835,2824.0
