encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,score,weighting,subset,alpha,w3_variant,feasible_level,guaranteed_level,K,auc,auc_holdout,clip_rate,clip_rate_test,no_support,classifier_converged,n_eff_median,n_eff_frac,n_C_used,n_E_used,frac_morph_joined,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,width_mean_spotgene,width_median,sigma_clip_lo,sigma_clip_hi,sigma_lo_hit_guard,sigma_clip_rate_cal,sigma_clip_rate_test,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,n_cells,n_slides
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,W1,all,0.1,,,,,0.5565135428356757,0.4997996445098326,0.0050134288272157,0.0094714495672527,0,True,10752.682835289068,0.9626394660061832,11170,18371,,0,918550,0.0,0,1.6103090458071605,1.5807427523456172,,,False,,,0.8849714552584942,1.6103092360982971,1.61029707065274,2.1738578950415968,0.0729702698297096,0.0420582749117961,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,W1b,morph_joined,0.1,,,,,0.5068086063944,0.4999049823435855,0.0050152424033828,0.0052947825569635,0,True,10160.463414391816,0.9991605285074066,10169,16809,0.913239226837277,0,840450,0.0,0,1.6089870438492715,1.5816676995697736,,,False,,,0.8844013827148437,1.6089856246697445,1.608996699584872,2.173841464687273,0.0732580112426592,0.0423406060424969,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,none,morph_joined,0.1,,,,,,,0.0,0.0,0,True,10169.0,1.0,10169,16809,0.913239226837277,0,840450,0.0,0,1.6101564418786818,1.583750667206814,,,False,,,0.8846696989538801,1.610156441878682,1.610156441878682,2.173634016460797,0.0730838834224568,0.0422464176236628,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,none,morph_joined,0.2,,,,,,,0.0,0.0,0,True,10169.0,1.0,10169,16809,0.913239226837277,0,840450,0.0,0,1.244439220549956,1.2201708617469944,,,False,,,0.7771156865825968,1.244439220549956,1.244439220549956,1.8270468607617432,0.1301765558608261,0.0927077575565771,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,W2,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.6084471041603203,1.574797231586906,,,False,,,0.8845702336111094,1.60844710416032,1.60844710416032,2.1741803367895005,0.0732168153364095,0.0422129510524809,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,W3,all,0.1,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.6084471041603203,1.574797231586906,,,False,,,0.8845702336111094,1.60844710416032,1.60844710416032,2.1741803367895005,0.0732168153364095,0.0422129510524809,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,W3,all,0.2,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.2443706123829292,1.22055056265039,,,False,,,0.7778807257546164,1.2443706123829292,1.2443706123829292,1.826522464847473,0.1299710077973216,0.0921482664480619,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,W3,all,8.951750067138126e-05,feasible_level,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,5.091816878301042,4.78145437004139,,,False,,,0.9998788916476808,5.091816878301042,5.091816878301042,5.77568459165176,7.922694294880796e-05,4.188140937038216e-05,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,none,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.509473592049119,1.5472560477360666,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.9000704764118193,1.5775186244630706,1.5936408169996246,2.054303347735688,0.0774538797952685,0.0224756437929123,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,none,all,0.2,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.1633702104811103,1.1885022603910638,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.7948109139679196,1.2156463146573209,1.228006088382068,1.718959957643302,0.1323639215935337,0.0728251644385467,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,W1,all,0.1,,,,,0.5565135428356757,0.4997996445098326,0.0050134288272157,0.0094714495672527,0,True,10752.682835289068,0.9626394660061832,11170,18371,,0,918550,0.0,0,1.5098840992713796,1.547546533722071,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.9001203935159465,1.5779211194116085,1.5940385821361636,2.054336584641051,0.0774228109338917,0.0224567955501616,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,W1b,morph_joined,0.1,,,,,0.5068086063944,0.4999049823435855,0.0050152424033828,0.0052947825569635,0,True,10160.463414391816,0.9991605285074066,10169,16809,0.913239226837277,0,840450,0.0,0,1.511429319550188,1.5448339270814844,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.8998928201821574,1.578697565729599,1.5941086005019651,2.054767414141081,0.0773907766416276,0.022716403176215,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,none,morph_joined,0.1,,,,,,,0.0,0.0,0,True,10169.0,1.0,10169,16809,0.913239226837277,0,840450,0.0,0,1.511334877689474,1.5446818435937035,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.8998860421982514,1.5785984699265003,1.5940107400672536,2.0547360234187506,0.0774104476830651,0.0227035101186834,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,none,morph_joined,0.2,,,,,,,0.0,0.0,0,True,10169.0,1.0,10169,16809,0.913239226837277,0,840450,0.0,0,1.1642064148811486,1.1865837116775515,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.793933519169685,1.2157499810587225,1.227552418437463,1.7201795746724555,0.1325379524248157,0.0735285284054993,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,scaled_clip,W2,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.509473592049119,1.5472560477360666,0.1216949484435274,0.6855398193832282,False,0.02,0.0198247237493876,0.9000704764118193,1.5775186244630706,1.5936408169996246,2.054303347735688,0.0774538797952685,0.0224756437929123,1200,24
