encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test,acc_drop
uni_v2,SKCM,3034,2,0.5,1.0,0.9823208983546536,0.0176791016453463,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.017679101645346362
gigapath,CCRCC,74220,24,0.0416666666666666,0.9939185403839332,0.9825266571604204,0.0113918832235128,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.011391883223512811
gigapath,COAD,15651,4,0.25,0.997870804646518,0.9970231678863748,0.0008476367601432,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.0008476367601432111
gigapath,HCC,4196,2,0.5,1.0,0.9944927042525408,0.0055072957474592,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.005507295747459229
gigapath,IDC,35536,4,0.25,0.9988870101106412,0.9922698015924613,0.0066172085181798,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.006617208518179929
gigapath,LUNG,5206,2,0.5,1.0,0.9983818770226538,0.0016181229773462,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.0016181229773462036
gigapath,LYMPH_IDC,19964,4,0.25,0.9828072902907976,0.9639637118192592,0.0188435784715386,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.01884357847153839
gigapath,PAAD,7571,3,0.3333333333333333,0.9976939779518972,0.9981322496947496,-0.0004382717428524,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,-0.0004382717428523808
gigapath,PRAD,62710,23,0.0434782608695652,0.9687591352772784,0.943923933566932,0.0248352017103464,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.024835201710346366
gigapath,READ,8407,4,0.25,0.9855311167683568,0.973313859475146,0.0122172572932107,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.01221725729321077
gigapath,SKCM,3034,2,0.5,1.0,0.993059183354542,0.006940816645458,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.006940816645457981
virchow,CCRCC,74220,24,0.0416666666666666,0.9944303850218142,0.9851001164159968,0.0093302686058174,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.009330268605817427
virchow,COAD,15651,4,0.25,0.9990683413090607,0.99773026726139,0.0013380740476708,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.0013380740476707231
virchow,HCC,4196,2,0.5,0.999261447562777,0.9969198887185602,0.0023415588442168,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.002341558844216829
virchow,IDC,35536,4,0.25,0.9999197174052664,0.9967600563532284,0.0031596610520381,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.003159661052038021
virchow,LUNG,5206,2,0.5,1.0,1.0,0.0,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.0
virchow,LYMPH_IDC,19964,4,0.25,0.9811366135239142,0.9590046240808768,0.0221319894430372,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.022131989443037403
virchow,PAAD,7571,3,0.3333333333333333,1.0,0.9968822226502312,0.0031177773497689,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.0031177773497688133
virchow,PRAD,62710,23,0.0434782608695652,0.9790479044347448,0.9500710898977942,0.0289768145369504,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.028976814536950557
virchow,READ,8407,4,0.25,0.9938218116639956,0.9874620854004056,0.0063597262635901,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.006359726263590049
virchow,SKCM,3034,2,0.5,1.0,0.9849664010001562,0.0150335989998438,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.0150335989998438
virchow2,CCRCC,74220,24,0.0416666666666666,0.995615095243988,0.9880417486278734,0.0075733466161146,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.007573346616114529
virchow2,COAD,15651,4,0.25,0.9990629171201288,0.9984070977634608,0.000655819356668,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.0006558193566680304
virchow2,HCC,4196,2,0.5,1.0,0.9985380116959064,0.0014619883040936,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.0014619883040936088
virchow2,IDC,35536,4,0.25,0.9997721877917486,0.9943193280405253,0.0054528597512234,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.005452859751223338
virchow2,LUNG,5206,2,0.5,0.9994892747701736,0.9991909385113268,0.0002983362588466,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.0002983362588467875
virchow2,LYMPH_IDC,19964,4,0.25,0.9823041684813264,0.9686849900169332,0.013619178464393,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.0136191784643932
virchow2,PAAD,7571,3,0.3333333333333333,0.998246769549465,0.9981322496947496,0.0001145198547153,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.00011451985471544468
virchow2,PRAD,62710,23,0.0434782608695652,0.982163684116488,0.956975509286431,0.0251881748300569,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.025188174830056975
virchow2,READ,8407,4,0.25,0.9975169787361696,0.9965825832263208,0.0009343955098486,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.0009343955098488621
virchow2,SKCM,3034,2,0.5,1.0,0.9938271604938272,0.0061728395061728,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.006172839506172756
hoptimus0,CCRCC,74220,24,0.0416666666666666,0.9961036234340797,0.9915700083325838,0.0045336151014957,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.004533615101495858
hoptimus0,COAD,15651,4,0.25,0.9990683413090607,0.998164372290574,0.0009039690184867,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.0009039690184867721
hoptimus0,HCC,4196,2,0.5,1.0,0.997650882870607,0.002349117129393,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.002349117129393008
hoptimus0,IDC,35536,4,0.25,1.0,0.9972230473645426,0.0027769526354574,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.002776952635457408
hoptimus0,LUNG,5206,2,0.5,0.9994892747701736,0.9991909385113268,0.0002983362588466,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.0002983362588467875
hoptimus0,LYMPH_IDC,19964,4,0.25,0.9801348321826608,0.9670639361787908,0.0130708960038697,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.013070896003870014
hoptimus0,PAAD,7571,3,0.3333333333333333,0.9991233847747324,0.9994791666666668,-0.0003557818919343,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,-0.0003557818919344147
hoptimus0,PRAD,62710,23,0.0434782608695652,0.9841586467755968,0.9609584476576164,0.0232001991179802,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.023200199117980436
hoptimus0,READ,8407,4,0.25,0.9985031720300552,0.9870424760676896,0.0114606959623656,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.011460695962365652
hoptimus0,SKCM,3034,2,0.5,1.0,0.9909115263545644,0.0090884736454357,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.009088473645435635
