encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
phikon,PRAD,leave_one_sample,14,60890,1820,50,0.0078125,0.3965204656124115,1
phikon,PRAD,leave_one_sample,15,59974,2736,50,0.0078125,0.5674536228179932,1
phikon,PRAD,leave_one_sample,16,59156,3554,50,0.0078125,0.3629980981349945,1
phikon,PRAD,leave_one_sample,17,59520,3190,50,0.0078125,0.4744074940681457,1
phikon,PRAD,leave_one_sample,18,59618,3092,50,0.0078125,0.2669695019721985,1
phikon,PRAD,leave_one_sample,19,58854,3856,50,0.0078125,0.0958852544426918,1
phikon,PRAD,leave_one_sample,20,58631,4079,50,0.0078125,0.3204820156097412,1
phikon,PRAD,leave_one_sample,21,59935,2775,50,0.0078125,0.4684148728847503,1
phikon,PRAD,leave_one_sample,22,60101,2609,50,0.0078125,0.0284965094178915,1
phikon,READ,patient,0,3819,4588,50,0.0078125,0.233237937092781,2
phikon,READ,patient,1,4588,3819,50,0.0078125,0.0730419754981994,2
phikon,READ,random_spot,0,3819,4588,50,0.0078125,0.5027146339416504,4
phikon,READ,random_spot,1,4588,3819,50,0.0078125,0.5106351375579834,4
phikon,READ,leave_one_sample,0,6716,1691,50,0.0078125,0.3112646043300628,1
phikon,READ,leave_one_sample,1,6279,2128,50,0.0078125,0.2212225347757339,1
phikon,READ,leave_one_sample,2,6022,2385,50,0.0078125,0.3071633279323578,1
phikon,READ,leave_one_sample,3,6204,2203,50,0.0078125,0.3092441260814667,1
phikon,SKCM,patient,0,1741,1293,50,0.0078125,0.5950952172279358,1
phikon,SKCM,patient,1,1293,1741,50,0.0078125,0.4757556021213531,1
phikon,SKCM,random_spot,0,1741,1293,50,0.0078125,0.8279260993003845,2
phikon,SKCM,random_spot,1,1293,1741,50,0.0078125,0.8168678283691406,2
phikon,SKCM,leave_one_sample,0,1293,1741,50,0.0078125,0.4757556021213531,1
phikon,SKCM,leave_one_sample,1,1741,1293,50,0.0078125,0.5950952172279358,1
uni_v1,CCRCC,patient,0,55849,18371,50,0.0078125,0.1983515173196792,4
uni_v1,CCRCC,patient,1,67651,6569,50,0.0078125,0.2617976069450378,4
uni_v1,CCRCC,patient,2,63464,10756,50,0.0078125,0.1971868127584457,4
uni_v1,CCRCC,patient,3,67098,7122,50,0.0078125,0.2393688410520553,4
uni_v1,CCRCC,patient,4,59472,14748,50,0.0078125,0.2306794971227646,4
uni_v1,CCRCC,patient,5,57566,16654,50,0.0078125,0.3124978244304657,4
uni_v1,CCRCC,random_spot,0,55849,18371,50,0.0078125,0.6421802639961243,24
uni_v1,CCRCC,random_spot,1,67651,6569,50,0.0078125,0.6346930861473083,24
uni_v1,CCRCC,random_spot,2,63464,10756,50,0.0078125,0.6431005001068115,24
uni_v1,CCRCC,random_spot,3,67098,7122,50,0.0078125,0.6314071416854858,24
uni_v1,CCRCC,random_spot,4,59472,14748,50,0.0078125,0.6374217867851257,24
uni_v1,CCRCC,random_spot,5,57566,16654,50,0.0078125,0.642813503742218,24
uni_v1,CCRCC,leave_one_sample,0,73136,1084,50,0.0078125,0.090492159128189,1
uni_v1,CCRCC,leave_one_sample,1,72237,1983,50,0.0078125,0.4795897305011749,1
uni_v1,CCRCC,leave_one_sample,2,72781,1439,50,0.0078125,0.0712442472577095,1
uni_v1,CCRCC,leave_one_sample,3,72769,1451,50,0.0078125,0.1169091686606407,1
uni_v1,CCRCC,leave_one_sample,4,69861,4359,50,0.0078125,0.0730845183134079,1
uni_v1,CCRCC,leave_one_sample,5,69658,4562,50,0.0078125,0.0660113245248794,1
uni_v1,CCRCC,leave_one_sample,6,69280,4940,50,0.0078125,0.181555226445198,1
uni_v1,CCRCC,leave_one_sample,7,71014,3206,50,0.0078125,0.1382701843976974,1
uni_v1,CCRCC,leave_one_sample,8,70635,3585,50,0.0078125,0.105716086924076,1
uni_v1,CCRCC,leave_one_sample,9,69305,4915,50,0.0078125,0.2783133387565613,1
uni_v1,CCRCC,leave_one_sample,10,69272,4948,50,0.0078125,0.204735055565834,1
uni_v1,CCRCC,leave_one_sample,11,71640,2580,50,0.0078125,0.2249122858047485,1
uni_v1,CCRCC,leave_one_sample,12,69360,4860,50,0.0078125,0.1162155121564865,1
uni_v1,CCRCC,leave_one_sample,13,69245,4975,50,0.0078125,0.2640386819839477,1
uni_v1,CCRCC,leave_one_sample,14,70391,3829,50,0.0078125,0.1782030314207077,1
uni_v1,CCRCC,leave_one_sample,15,69465,4755,50,0.0078125,0.0809776782989502,1
uni_v1,CCRCC,leave_one_sample,16,69710,4510,50,0.0078125,0.2710609138011932,1
uni_v1,CCRCC,leave_one_sample,17,72213,2007,50,0.0078125,0.1926670521497726,1
uni_v1,CCRCC,leave_one_sample,18,72871,1349,50,0.0078125,0.2091067433357238,1
uni_v1,CCRCC,leave_one_sample,19,73034,1186,50,0.0078125,0.4972057044506073,1
uni_v1,CCRCC,leave_one_sample,20,72542,1678,50,0.0078125,0.2285121530294418,1
uni_v1,CCRCC,leave_one_sample,21,71846,2374,50,0.0078125,0.0057656746357679,1
uni_v1,CCRCC,leave_one_sample,22,72271,1949,50,0.0078125,0.1265896111726761,1
uni_v1,CCRCC,leave_one_sample,23,72524,1696,50,0.0078125,0.3331354260444641,1
uni_v1,COAD,patient,0,5079,10572,50,0.0078125,0.2307111024856567,3
uni_v1,COAD,patient,1,10572,5079,50,0.0078125,0.2924485504627228,1
uni_v1,COAD,random_spot,0,5079,10572,50,0.0078125,0.7327032685279846,4
uni_v1,COAD,random_spot,1,10572,5079,50,0.0078125,0.7413169741630554,4
uni_v1,COAD,leave_one_sample,0,10572,5079,50,0.0078125,0.2924485504627228,1
uni_v1,COAD,leave_one_sample,1,12234,3417,50,0.0078125,0.5819607973098755,1
